[2017:08:17-14:44:32] cmd: 1, targetTemp: 58.0, temp: 87.3, elapsed time: 0m 16s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 63.0
[2017:08:17-14:44:33] cmd: 1, targetTemp: 58.0, temp: 77.3, elapsed time: 0m 17s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 62.0
[2017:08:17-14:44:34] cmd: 1, targetTemp: 58.0, temp: 70.3, elapsed time: 0m 18s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 66.0
[2017:08:17-14:44:35] cmd: 1, targetTemp: 58.0, temp: 64.8, elapsed time: 0m 19s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 65.0
[2017:08:17-14:44:36] cmd: 1, targetTemp: 58.0, temp: 60.5, elapsed time: 0m 20s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 64.0
[2017:08:17-14:44:37] cmd: 1, targetTemp: 58.0, temp: 56.9, elapsed time: 0m 21s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 8, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 68.0
[2017:08:17-14:44:38] cmd: 1, targetTemp: 58.0, temp: 54.4, elapsed time: 0m 22s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 28, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 62.0
[2017:08:17-14:44:39] cmd: 1, targetTemp: 58.0, temp: 52.6, elapsed time: 0m 23s, line Time: 5s, protocol Time: 6m 35s, device TargetArr: 0, mfc TargetArr: 0, free Running: 1, free Running Counter: 48, ArrivalDelta: 0.5, tempFlag: 1, photodiode: 67.0
[2017:08:17-14:44:40] cmd: 1, targetTemp: 58.0, temp: 59.7, elapsed time: 0m 24s, line Time: 4s, protocol Time: 6m 34s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 65.0
[2017:08:17-14:44:41] cmd: 1, targetTemp: 58.0, temp: 60.3, elapsed time: 0m 25s, line Time: 3s, protocol Time: 6m 33s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 66.0
[2017:08:17-14:44:42] cmd: 1, targetTemp: 58.0, temp: 56.7, elapsed time: 0m 26s, line Time: 2s, protocol Time: 6m 32s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 67.0
[2017:08:17-14:44:43] cmd: 1, targetTemp: 58.0, temp: 57.7, elapsed time: 0m 27s, line Time: 1s, protocol Time: 6m 31s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 65.0
[2017:08:17-14:44:44] cmd: 1, targetTemp: 58.0, temp: 57.3, elapsed time: 0m 28s, line Time: 0s, protocol Time: 6m 30s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 64.0
[2017:08:17-14:44:45] cmd: 1, targetTemp: 58.0, temp: 57.5, elapsed time: 0m 29s, line Time: 0s, protocol Time: 6m 30s, device TargetArr: 1, mfc TargetArr: 1, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 68.0
[2017:08:17-14:44:46] cmd: 1, targetTemp: 95.0, temp: 57.9, elapsed time: 0m 30s, line Time: 5s, protocol Time: 6m 30s, device TargetArr: 1, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 64.0
[2017:08:17-14:44:47] cmd: 1, targetTemp: 95.0, temp: 67.9, elapsed time: 0m 31s, line Time: 5s, protocol Time: 6m 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 62.0
[2017:08:17-14:44:48] cmd: 1, targetTemp: 95.0, temp: 83.4, elapsed time: 0m 32s, line Time: 5s, protocol Time: 6m 30s, device TargetArr: 0, mfc TargetArr: 0, free Running: 0, free Running Counter: 0, ArrivalDelta: 0.5, tempFlag: 0, photodiode: 52.0
