Cycle	Time	Value
     1	      32	0.0
     2	      83	0.0
     3	     132	0.0
     4	     182	0.0
     5	     232	0.0
     6	     283	0.0
     7	     332	0.0
     8	     382	0.0
     9	     432	0.0
    10	     483	0.0
    11	     532	0.0
    12	     582	0.0
    13	     632	0.0
    14	     682	2.0
    15	     732	0.0
    16	     782	0.0
    17	     832	0.0
    18	     882	0.0
    19	     932	0.0
    20	     984	0.0
    21	    1032	0.0
    22	    1082	0.0
    23	    1132	0.0
    24	    1189	0.0
    25	    1232	0.0
    26	    1282	0.0
    27	    1332	0.0
    28	    1382	0.0
    29	    1432	0.0
    30	    1483	0.0
    31	    1532	0.0
    32	    1582	0.0
    33	    1633	0.0
    34	    1681	0.0
    35	    1731	0.0
    36	    1783	0.0
    37	    1833	0.0
    38	    1883	0.0
    39	    1932	0.0
    40	    1982	0.0
    41	    2033	0.0
    42	    2082	0.0
    43	    2133	0.0
    44	    2182	0.0
    45	    2232	0.0
    46	    2282	0.0
    47	    2332	0.0
    48	    2383	0.0
    49	    2432	0.0
    50	    2483	0.0
    51	    2532	0.0
    52	    2583	0.0
    53	    2632	0.0
    54	    2682	0.0
    55	    2732	0.0
    56	    2783	0.0
    57	    2832	0.0
    58	    2883	0.0
    59	    2932	0.0
    60	    2982	0.0
    61	    3032	0.0
    62	    3083	0.0
    63	    3132	0.0
    64	    3183	0.0
    65	    3233	0.0
    66	    3282	0.0
    67	    3333	0.0
    68	    3382	0.0
    69	    3432	0.0
    70	    3482	0.0
    71	    3532	0.0
    72	    3583	0.0
    73	    3632	0.0
    74	    3682	0.0
    75	    3732	0.0
    76	    3782	0.0
    77	    3833	0.0
    78	    3882	0.0
    79	    3932	0.0
    80	    3982	0.0
    81	    4032	0.0
    82	    4082	0.0
    83	    4133	0.0
    84	    4182	0.0
    85	    4233	0.0
    86	    4282	0.0
    87	    4332	0.0
    88	    4382	0.0
    89	    4433	0.0
    90	    4482	0.0
    91	    4531	0.0
    92	    4582	0.0
    93	    4632	0.0
    94	    4682	0.0
    95	    4734	0.0
    96	    4782	0.0
    97	    4832	0.0
    98	    4882	0.0
    99	    4932	0.0
   100	    4982	0.0
   101	    5032	0.0
   102	    5082	0.0
   103	    5133	0.0
   104	    5189	0.0
   105	    5233	0.0
   106	    5282	0.0
   107	    5332	0.0
   108	    5382	0.0
   109	    5432	0.0
   110	    5482	0.0
   111	    5532	0.0
   112	    5582	0.0
   113	    5632	0.0
   114	    5682	0.0
   115	    5732	0.0
   116	    5782	0.0
   117	    5831	0.0
   118	    5882	0.0
   119	    5932	0.0
   120	    5984	0.0
   121	    6031	0.0
   122	    6082	0.0
   123	    6132	0.0
   124	    6182	0.0
   125	    6233	0.0
   126	    6282	0.0
   127	    6332	0.0
   128	    6382	0.0
   129	    6432	0.0
   130	    6482	0.0
   131	    6531	0.0
   132	    6582	0.0
   133	    6633	0.0
   134	    6682	0.0
