Cycle	Time	Value
     1	       8	0.0
     2	      58	0.0
     3	     108	0.0
     4	     158	0.0
     5	     208	0.0
     6	     258	0.0
     7	     308	0.0
     8	     357	0.0
     9	     408	1.0
    10	     458	0.0
    11	     508	0.0
    12	     558	0.0
    13	     608	0.0
    14	     657	0.0
    15	     707	0.0
    16	     758	0.0
    17	     808	0.0
    18	     858	0.0
    19	     908	0.0
    20	     957	0.0
    21	    1008	0.0
    22	    1059	0.0
    23	    1108	0.0
    24	    1158	2.0
    25	    1208	0.0
    26	    1257	0.0
    27	    1308	0.0
    28	    1358	0.0
    29	    1408	0.0
    30	    1458	0.0
    31	    1515	0.0
    32	    1558	0.0
    33	    1608	0.0
    34	    1658	0.0
    35	    1708	0.0
    36	    1758	0.0
    37	    1808	0.0
    38	    1858	0.0
    39	    1908	0.0
    40	    1958	0.0
    41	    2008	0.0
    42	    2058	0.0
    43	    2109	0.0
    44	    2158	0.0
    45	    2209	0.0
    46	    2260	0.0
    47	    2308	0.0
    48	    2358	0.0
    49	    2409	0.0
    50	    2457	0.0
    51	    2508	0.0
    52	    2558	0.0
    53	    2609	0.0
    54	    2658	0.0
    55	    2708	0.0
    56	    2758	0.0
    57	    2808	0.0
    58	    2858	0.0
    59	    2908	0.0
    60	    2958	0.0
    61	    3008	0.0
    62	    3058	0.0
    63	    3108	0.0
    64	    3158	1.0
    65	    3208	1.0
    66	    3258	0.0
    67	    3308	0.0
    68	    3357	0.0
    69	    3409	0.0
    70	    3458	0.0
    71	    3508	0.0
    72	    3558	0.0
    73	    3688	1.0
    74	    3691	0.0
