Number	Time	Temperature
     1	      23	29.7
     2	      72	29.7
     3	     123	29.7
     4	     173	29.7
     5	     223	29.9
     6	     274	30.3
     7	     323	30.6
     8	     374	31.2
     9	     423	31.9
    10	     473	32.7
    11	     523	33.6
    12	     573	34.4
    13	     623	35.3
    14	     673	36.3
    15	     724	37.4
    16	     773	39.6
    17	     823	40.7
    18	     874	41.8
    19	     923	43.0
    20	     974	44.0
    21	    1023	45.1
    22	    1073	46.1
    23	    1123	47.1
    24	    1172	48.3
    25	    1222	49.3
    26	    1273	50.2
    27	    1323	51.2
    28	    1373	52.9
    29	    1422	53.6
    30	    1473	54.1
    31	    1524	54.5
    32	    1573	54.7
    33	    1624	54.8
    34	    1673	55.0
    35	    1723	55.0
    36	    1773	55.0
    37	    1823	54.8
    38	    1874	54.7
    39	    1924	54.6
    40	    1972	54.4
    41	    2023	54.0
    42	    2073	53.6
    43	    2124	53.3
    44	    2172	53.2
    45	    2223	52.7
    46	    2273	52.5
    47	    2323	52.2
    48	    2373	51.8
    49	    2423	51.5
    50	    2473	51.4
    51	    2523	50.9
    52	    2573	50.7
    53	    2623	50.1
    54	    2672	50.0
    55	    2723	49.7
    56	    2773	49.5
    57	    2824	49.3
    58	    2874	49.3
    59	    2922	49.3
    60	    2973	49.3
    61	    3022	49.4
    62	    3073	49.5
    63	    3123	49.7
    64	    3172	50.0
    65	    3223	50.2
    66	    3273	50.7
    67	    3323	50.8
    68	    3373	50.9
    69	    3422	51.1
    70	    3473	51.2
    71	    3523	51.2
    72	    3573	51.2
    73	    3624	51.1
    74	    3673	50.9
    75	    3723	50.9
    76	    3777	50.8
    77	    3824	50.7
    78	    3873	50.4
    79	    3923	50.1
    80	    3972	50.0
    81	    4023	49.8
    82	    4073	49.7
    83	    4123	49.5
    84	    4173	49.5
    85	    4223	49.5
    86	    4273	49.5
    87	    4323	49.7
    88	    4373	49.8
    89	    4423	50.0
    90	    4472	50.1
    91	    4523	50.5
    92	    4573	50.7
    93	    4623	50.7
    94	    4674	50.8
    95	    4723	50.8
    96	    4773	50.8
    97	    4823	50.8
    98	    4873	50.8
    99	    4925	50.7
   100	    4973	50.7
   101	    5023	50.5
   102	    5073	50.4
   103	    5123	50.1
   104	    5173	50.0
   105	    5222	49.8
   106	    5273	49.8
   107	    5324	49.7
   108	    5377	49.7
   109	    5423	49.7
   110	    5473	49.5
   111	    5522	49.7
   112	    5573	49.8
   113	    5623	50.0
   114	    5673	50.1
   115	    5723	50.2
   116	    5774	50.5
   117	    5823	50.7
   118	    5873	50.7
   119	    5923	50.8
   120	    5973	50.8
   121	    6115	50.8
   122	    6133	50.8
   123	    6182	50.5
   124	    6227	50.4
   125	    6275	50.2
   126	    6321	50.1
   127	    6365	50.0
   128	    6414	49.8
   129	    6460	49.8
   130	    6506	49.7
   131	    6552	49.7
   132	    6599	49.7
   133	    6643	49.7
   134	    6692	49.7
   135	    6735	49.8
   136	    6782	50.0
   137	    6829	50.0
   138	    6876	50.0
   139	    6922	50.2
   140	    6973	50.4
   141	    7023	50.4
   142	    7073	50.7
   143	    7123	50.7
   144	    7173	50.7
   145	    7223	50.7
   146	    7274	50.7
   147	    7324	50.5
   148	    7373	50.5
   149	    7422	50.4
   150	    7473	50.4
   151	    7524	50.2
   152	    7574	50.1
   153	    7623	50.0
   154	    7673	49.8
   155	    7723	49.8
   156	    7777	49.7
   157	    7824	49.7
   158	    7873	49.7
   159	    7923	49.7
   160	    7972	49.8
   161	    8023	50.0
   162	    8073	50.0
   163	    8123	50.1
   164	    8173	50.2
   165	    8223	50.4
   166	    8273	50.5
   167	    8323	50.7
   168	    8374	50.7
   169	    8423	50.7
   170	    8473	50.7
   171	    8523	50.7
   172	    8574	50.5
   173	    8624	50.5
   174	    8672	50.4
   175	    8724	50.4
   176	    8773	50.2
   177	    8824	50.1
   178	    8873	49.8
   179	    8924	49.8
   180	    8973	49.8
   181	    9023	49.8
   182	    9073	49.8
   183	    9123	49.8
   184	    9174	49.8
   185	    9223	49.8
   186	    9273	49.7
   187	    9324	50.0
   188	    9375	50.1
   189	    9423	50.2
   190	    9473	50.4
   191	    9523	50.4
   192	    9573	50.5
   193	    9623	50.5
   194	    9673	50.5
   195	    9723	50.5
   196	    9773	50.5
   197	    9824	50.5
   198	    9874	50.4
   199	    9923	50.4
   200	    9972	50.2
   201	   10023	50.2
   202	   10073	50.1
   203	   10123	49.8
   204	   10174	49.8
   205	   10223	49.8
   206	   10274	49.7
   207	   10324	49.8
   208	   10374	49.7
   209	   10424	49.8
