Number	Time	Temperature
     1	      32	30.4
     2	      83	30.4
     3	     132	30.4
     4	     182	30.4
     5	     232	30.4
     6	     283	30.6
     7	     332	31.0
     8	     382	31.3
     9	     432	31.9
    10	     483	32.5
    11	     532	33.2
    12	     582	35.2
    13	     632	36.0
    14	     682	37.0
    15	     732	38.1
    16	     782	39.2
    17	     832	40.3
    18	     882	41.3
    19	     932	42.4
    20	     984	43.6
    21	    1032	44.7
    22	    1082	45.7
    23	    1132	46.8
    24	    1189	47.9
    25	    1232	49.8
    26	    1282	50.9
    27	    1332	51.9
    28	    1382	52.6
    29	    1432	53.3
    30	    1483	54.0
    31	    1532	54.4
    32	    1582	54.7
    33	    1633	54.8
    34	    1681	55.0
    35	    1731	55.1
    36	    1783	55.1
    37	    1833	54.8
    38	    1883	54.7
    39	    1932	54.5
    40	    1982	54.4
    41	    2033	54.1
    42	    2082	53.8
    43	    2133	53.6
    44	    2182	53.4
    45	    2232	53.0
    46	    2282	52.7
    47	    2332	52.5
    48	    2383	52.2
    49	    2432	51.6
    50	    2483	51.4
    51	    2532	51.1
    52	    2583	50.8
    53	    2632	50.5
    54	    2682	49.8
    55	    2732	50.0
    56	    2782	49.8
    57	    2832	49.5
    58	    2883	49.4
    59	    2932	49.3
    60	    2982	49.3
    61	    3032	49.3
    62	    3083	49.4
    63	    3132	49.7
    64	    3182	49.8
    65	    3233	50.1
    66	    3282	50.2
    67	    3333	50.5
    68	    3382	50.8
    69	    3432	50.9
    70	    3482	51.1
    71	    3532	51.1
    72	    3583	51.2
    73	    3632	51.2
    74	    3682	51.1
    75	    3732	50.9
    76	    3782	50.8
    77	    3833	50.7
    78	    3882	50.7
    79	    3932	50.4
    80	    3982	49.8
    81	    4032	50.1
    82	    4082	50.0
    83	    4133	49.8
    84	    4182	49.7
    85	    4233	49.5
    86	    4282	49.5
    87	    4332	49.5
    88	    4382	49.7
    89	    4433	49.8
    90	    4482	50.0
    91	    4531	50.1
    92	    4582	50.2
    93	    4632	50.4
    94	    4682	50.5
    95	    4734	50.7
    96	    4782	50.8
    97	    4832	50.8
    98	    4882	50.9
    99	    4932	50.8
   100	    4982	50.8
   101	    5032	50.7
   102	    5082	50.5
   103	    5132	50.4
   104	    5189	50.4
   105	    5233	50.1
   106	    5282	50.0
   107	    5332	50.0
   108	    5382	49.8
   109	    5432	49.7
   110	    5482	49.7
   111	    5532	49.7
   112	    5582	49.7
   113	    5632	49.8
   114	    5682	49.8
   115	    5732	50.0
   116	    5782	50.1
   117	    5831	50.4
   118	    5882	50.4
   119	    5932	50.5
   120	    5984	50.5
   121	    6031	50.8
   122	    6082	50.8
   123	    6132	50.8
   124	    6182	50.7
   125	    6233	50.7
   126	    6282	50.5
   127	    6332	50.5
   128	    6382	50.4
   129	    6432	50.2
   130	    6482	50.1
   131	    6531	50.0
   132	    6582	49.8
   133	    6633	49.8
   134	    6682	49.7
