Cycle	Time	Value
     1	      23	0.0
     2	      73	0.0
     3	     124	0.0
     4	     173	0.0
     5	     221	0.0
     6	     272	0.0
     7	     323	0.0
     8	     373	0.0
     9	     422	0.0
    10	     474	0.0
    11	     524	0.0
    12	     573	0.0
    13	     623	0.0
    14	     673	0.0
    15	     723	0.0
    16	     773	0.0
    17	     823	0.0
    18	     873	0.0
    19	     923	0.0
    20	     973	0.0
    21	    1023	0.0
    22	    1074	0.0
    23	    1123	0.0
    24	    1173	0.0
    25	    1223	0.0
    26	    1273	0.0
    27	    1323	0.0
    28	    1373	0.0
    29	    1424	0.0
    30	    1474	0.0
    31	    1524	0.0
    32	    1573	0.0
    33	    1623	0.0
    34	    1672	0.0
    35	    1722	0.0
    36	    1772	0.0
    37	    1822	0.0
    38	    1873	0.0
    39	    1923	0.0
    40	    1973	0.0
    41	    2023	0.0
    42	    2072	0.0
    43	    2122	0.0
    44	    2173	0.0
    45	    2223	0.0
    46	    2274	0.0
    47	    2323	0.0
    48	    2372	0.0
    49	    2423	0.0
    50	    2473	0.0
    51	    2523	0.0
    52	    2573	0.0
    53	    2623	0.0
    54	    2673	0.0
    55	    2723	0.0
    56	    2773	0.0
    57	    2823	0.0
    58	    2873	0.0
    59	    2923	0.0
    60	    2973	0.0
    61	    3023	0.0
    62	    3073	0.0
    63	    3123	0.0
    64	    3173	0.0
    65	    3223	0.0
    66	    3273	0.0
    67	    3323	0.0
    68	    3373	0.0
    69	    3423	0.0
    70	    3472	0.0
    71	    3522	0.0
    72	    3573	0.0
    73	    3623	0.0
    74	    3673	0.0
    75	    3723	0.0
    76	    3773	0.0
    77	    3823	0.0
    78	    3873	0.0
    79	    3923	0.0
    80	    3972	0.0
    81	    4023	0.0
    82	    4073	0.0
    83	    4123	0.0
    84	    4173	0.0
    85	    4223	0.0
    86	    4272	0.0
    87	    4322	0.0
    88	    4373	0.0
    89	    4423	0.0
    90	    4473	0.0
    91	    4523	0.0
    92	    4573	0.0
    93	    4622	0.0
    94	    4674	0.0
    95	    4724	0.0
    96	    4773	0.0
    97	    4823	0.0
    98	    4873	0.0
    99	    4923	0.0
   100	    4972	0.0
   101	    5024	0.0
   102	    5074	0.0
   103	    5124	0.0
   104	    5172	0.0
   105	    5223	0.0
   106	    5273	0.0
   107	    5323	0.0
   108	    5373	0.0
   109	    5422	0.0
   110	    5473	1.0
   111	    5523	0.0
   112	    5573	0.0
   113	    5623	0.0
   114	    5673	0.0
   115	    5723	0.0
   116	    5773	0.0
   117	    5823	0.0
   118	    5872	0.0
   119	    5922	0.0
   120	    5973	0.0
   121	    6023	0.0
   122	    6072	0.0
   123	    6122	0.0
   124	    6172	0.0
   125	    6224	0.0
   126	    6273	0.0
   127	    6323	0.0
   128	    6373	0.0
   129	    6423	0.0
   130	    6473	0.0
   131	    6521	0.0
   132	    6573	0.0
   133	    6622	0.0
   134	    6673	0.0
   135	    6723	0.0
   136	    6773	0.0
   137	    6823	0.0
   138	    6874	0.0
   139	    6923	0.0
   140	    6972	0.0
   141	    7022	0.0
   142	    7073	0.0
   143	    7123	0.0
   144	    7173	0.0
   145	    7223	0.0
   146	    7273	0.0
   147	    7323	0.0
   148	    7374	0.0
   149	    7424	0.0
   150	    7473	0.0
   151	    7521	1.0
   152	    7573	0.0
   153	    7623	0.0
   154	    7672	0.0
   155	    7722	0.0
   156	    7773	0.0
   157	    7823	0.0
   158	    7872	0.0
   159	    7923	0.0
   160	    7973	0.0
   161	    8023	0.0
   162	    8073	0.0
   163	    8123	0.0
   164	    8173	0.0
   165	    8223	0.0
   166	    8273	0.0
   167	    8323	0.0
   168	    8373	0.0
   169	    8423	0.0
   170	    8473	0.0
   171	    8523	0.0
   172	    8573	0.0
   173	    8623	0.0
   174	    8672	0.0
   175	    8723	0.0
   176	    8773	0.0
   177	    8823	0.0
   178	    8873	0.0
   179	    8923	0.0
   180	    8973	0.0
   181	    9022	0.0
   182	    9073	0.0
   183	    9123	0.0
   184	    9173	0.0
   185	    9223	0.0
   186	    9273	0.0
   187	    9323	0.0
   188	    9373	0.0
   189	    9423	0.0
   190	    9472	0.0
   191	    9523	0.0
   192	    9573	0.0
   193	    9620	0.0
   194	    9672	0.0
   195	    9723	0.0
   196	    9773	0.0
   197	    9823	0.0
   198	    9873	0.0
   199	    9923	0.0
   200	    9973	0.0
   201	   10024	0.0
   202	   10073	0.0
   203	   10123	0.0
   204	   10174	0.0
