Cycle	Time	Value
     1	       9	0.0
     2	      60	0.0
     3	     110	0.0
     4	     160	0.0
     5	     210	0.0
     6	     260	0.0
     7	     310	0.0
     8	     360	0.0
     9	     410	0.0
    10	     460	0.0
    11	     510	0.0
    12	     560	0.0
    13	     610	0.0
    14	     660	0.0
    15	     710	0.0
    16	     759	0.0
    17	     809	0.0
    18	     859	0.0
    19	     910	0.0
    20	     961	0.0
    21	    1010	0.0
    22	    1060	0.0
    23	    1110	0.0
    24	    1160	0.0
    25	    1210	0.0
    26	    1261	0.0
    27	    1309	0.0
    28	    1360	0.0
    29	    1409	0.0
    30	    1465	0.0
    31	    1510	0.0
    32	    1560	0.0
    33	    1609	0.0
    34	    1661	0.0
    35	    1710	1.0
    36	    1760	0.0
    37	    1810	0.0
    38	    1860	0.0
    39	    1910	0.0
    40	    1960	0.0
    41	    2009	0.0
    42	    2060	0.0
    43	    2110	0.0
    44	    2160	0.0
    45	    2211	0.0
    46	    2259	0.0
    47	    2310	0.0
    48	    2359	0.0
    49	    2410	0.0
    50	    2460	0.0
    51	    2510	0.0
    52	    2560	0.0
    53	    2611	0.0
    54	    2660	0.0
    55	    2710	0.0
    56	    2760	0.0
    57	    2810	0.0
    58	    2860	0.0
    59	    2911	0.0
    60	    2961	0.0
    61	    3010	0.0
    62	    3060	0.0
    63	    3109	0.0
    64	    3160	0.0
    65	    3210	0.0
    66	    3260	0.0
    67	    3310	0.0
    68	    3360	0.0
    69	    3410	0.0
    70	    3460	0.0
    71	    3509	0.0
    72	    3559	0.0
    73	    3610	0.0
    74	    3660	0.0
    75	    3711	0.0
    76	    3759	0.0
    77	    3810	0.0
    78	    3864	0.0
    79	    3910	0.0
    80	    3962	0.0
    81	    4010	0.0
    82	    4060	0.0
    83	    4110	0.0
    84	    4160	0.0
    85	    4211	0.0
    86	    4259	0.0
    87	    4310	0.0
    88	    4360	0.0
    89	    4410	0.0
    90	    4460	0.0
    91	    4510	0.0
    92	    4560	0.0
    93	    4610	0.0
    94	    4661	1.0
    95	    4710	0.0
    96	    4760	0.0
    97	    4809	0.0
    98	    4860	0.0
    99	    4910	0.0
   100	    4960	0.0
   101	    5011	0.0
   102	    5059	0.0
   103	    5110	0.0
   104	    5161	0.0
   105	    5210	0.0
   106	    5260	0.0
   107	    5310	1.0
   108	    5360	0.0
   109	    5410	0.0
   110	    5460	0.0
   111	    5510	0.0
   112	    5562	0.0
   113	    5610	0.0
   114	    5660	0.0
   115	    5710	0.0
   116	    5759	0.0
   117	    5809	0.0
   118	    5860	0.0
   119	    5910	0.0
   120	    5960	0.0
   121	    6010	0.0
   122	    6059	0.0
   123	    6110	0.0
   124	    6160	0.0
   125	    6210	0.0
   126	    6260	0.0
   127	    6310	0.0
   128	    6359	0.0
   129	    6410	0.0
   130	    6460	0.0
   131	    6511	0.0
   132	    6560	0.0
   133	    6611	0.0
   134	    6659	0.0
   135	    6710	0.0
   136	    6760	1.0
   137	    6809	0.0
   138	    6860	0.0
   139	    6911	0.0
   140	    6960	0.0
   141	    7040	0.0
   142	    7075	0.0
   143	    7118	0.0
   144	    7164	0.0
   145	    7213	0.0
   146	    7260	0.0
   147	    7310	0.0
   148	    7359	0.0
   149	    7410	0.0
   150	    7461	0.0
   151	    7510	0.0
   152	    7559	0.0
   153	    7611	0.0
   154	    7659	0.0
   155	    7710	0.0
   156	    7760	0.0
   157	    7809	0.0
   158	    7863	0.0
   159	    7910	0.0
   160	    7959	0.0
   161	    8009	0.0
   162	    8060	0.0
   163	    8109	0.0
   164	    8159	0.0
   165	    8211	0.0
   166	    8260	0.0
   167	    8309	0.0
   168	    8359	0.0
   169	    8409	0.0
   170	    8460	0.0
   171	    8509	0.0
   172	    8560	0.0
   173	    8610	0.0
   174	    8662	0.0
   175	    8711	0.0
   176	    8759	0.0
   177	    8809	0.0
   178	    8860	0.0
   179	    8909	0.0
   180	    8960	0.0
   181	    9009	0.0
   182	    9060	0.0
   183	    9110	0.0
   184	    9160	0.0
   185	    9212	0.0
   186	    9259	0.0
   187	    9310	0.0
   188	    9360	0.0
   189	    9411	0.0
   190	    9463	0.0
   191	    9510	0.0
   192	    9560	0.0
   193	    9610	0.0
   194	    9660	0.0
   195	    9710	0.0
   196	    9760	0.0
   197	    9810	0.0
   198	    9859	0.0
   199	    9910	0.0
   200	    9960	0.0
   201	   10010	0.0
   202	   10060	0.0
   203	   10110	0.0
   204	   10160	0.0
   205	   10211	0.0
   206	   10259	0.0
   207	   10309	0.0
   208	   10360	0.0
   209	   10410	0.0
   210	   10460	0.0
   211	   10509	0.0
   212	   10560	0.0
   213	   10610	0.0
   214	   10660	0.0
   215	   10709	0.0
   216	   10759	0.0
   217	   10809	0.0
   218	   10860	0.0
   219	   10910	0.0
   220	   10960	0.0
   221	   11009	0.0
   222	   11059	0.0
   223	   11109	0.0
