Number	Time	Temperature
     1	      33	34.6
     2	      84	34.4
     3	     133	34.4
     4	     183	34.4
     5	     233	34.6
     6	     282	34.6
     7	     332	34.8
     8	     382	35.2
     9	     432	36.1
    10	     483	37.0
    11	     533	37.8
    12	     582	38.7
    13	     632	39.6
    14	     683	40.4
    15	     733	41.5
    16	     783	42.4
    17	     833	43.6
    18	     883	44.5
    19	     933	45.5
    20	     983	46.6
    21	    1032	47.6
    22	    1083	49.5
    23	    1133	50.5
    24	    1182	51.5
    25	    1233	52.3
    26	    1283	53.2
    27	    1333	53.7
    28	    1383	54.2
    29	    1446	54.6
    30	    1482	54.8
    31	    1532	55.0
    32	    1582	55.1
    33	    1632	55.0
    34	    1684	55.0
    35	    1733	54.8
    36	    1782	54.6
    37	    1833	54.5
    38	    1882	54.2
    39	    1933	54.1
    40	    1983	53.8
    41	    2033	53.6
    42	    2083	53.3
    43	    2133	53.0
    44	    2183	52.7
    45	    2233	52.6
    46	    2283	52.3
    47	    2333	51.8
    48	    2382	51.5
    49	    2433	51.2
    50	    2483	50.9
    51	    2533	50.8
    52	    2582	50.5
    53	    2633	50.2
    54	    2683	50.0
    55	    2734	49.7
    56	    2783	49.7
    57	    2833	49.5
    58	    2882	49.4
    59	    2934	49.4
    60	    2982	49.5
    61	    3039	49.5
    62	    3082	49.8
    63	    3132	50.0
    64	    3183	50.2
    65	    3233	50.4
    66	    3283	50.5
    67	    3333	50.8
    68	    3383	50.8
    69	    3433	50.9
    70	    3483	51.1
    71	    3531	50.9
    72	    3583	50.9
    73	    3633	50.9
    74	    3683	50.8
    75	    3733	50.7
    76	    3783	50.5
    77	    3832	50.4
    78	    3883	50.2
    79	    3933	50.1
    80	    3982	50.0
    81	    4031	50.0
    82	    4083	49.4
    83	    4133	49.7
    84	    4182	49.7
    85	    4233	49.7
    86	    4283	49.7
    87	    4333	49.8
    88	    4382	49.8
    89	    4432	50.0
    90	    4481	50.1
    91	    4532	50.2
    92	    4583	50.2
    93	    4633	50.4
    94	    4683	50.5
    95	    4733	50.5
    96	    4783	50.5
    97	    4833	50.7
    98	    4883	50.5
    99	    4933	50.5
   100	    4982	50.4
   101	    5033	50.4
   102	    5083	50.4
   103	    5133	50.2
   104	    5183	50.1
   105	    5233	50.0
   106	    5282	50.0
   107	    5332	49.8
   108	    5383	49.8
   109	    5451	49.7
   110	    5482	49.7
   111	    5532	49.7
   112	    5582	49.8
   113	    5632	50.0
   114	    5684	50.1
   115	    5732	50.1
   116	    5783	50.2
   117	    5833	50.4
   118	    5883	50.4
   119	    5933	50.5
   120	    5984	50.5
   121	    6032	50.5
   122	    6083	50.5
   123	    6133	50.5
   124	    6182	50.5
   125	    6233	50.4
   126	    6282	50.4
   127	    6333	50.2
   128	    6382	50.2
   129	    6432	50.1
   130	    6483	50.0
   131	    6533	49.8
   132	    6582	49.8
   133	    6633	49.7
   134	    6682	49.7
   135	    6732	49.7
   136	    6782	49.7
   137	    6833	49.7
   138	    6883	50.0
   139	    6933	50.0
   140	    6983	50.1
   141	    7038	50.2
   142	    7083	50.4
   143	    7133	50.4
   144	    7183	50.5
   145	    7232	50.7
   146	    7282	51.2
   147	    7332	51.8
   148	    7382	52.2
   149	    7433	52.7
   150	    7484	53.4
   151	    7532	54.2
   152	    7583	54.8
   153	    7632	55.5
   154	    7683	56.5
   155	    7733	57.3
   156	    7783	58.1
   157	    7833	58.9
   158	    7882	59.7
   159	    7932	61.4
   160	    7983	62.3
   161	    8034	63.1
   162	    8083	63.9
   163	    8133	64.6
   164	    8183	65.4
   165	    8232	66.2
   166	    8282	66.9
   167	    8332	67.8
   168	    8383	68.5
   169	    8433	69.3
   170	    8482	69.9
   171	    8534	71.4
   172	    8582	72.1
   173	    8632	72.8
   174	    8683	73.4
   175	    8734	74.0
   176	    8783	74.5
   177	    8832	75.1
   178	    8883	75.8
   179	    8933	76.4
   180	    8983	77.0
   181	    9033	77.5
   182	    9082	78.2
   183	    9134	78.8
   184	    9184	79.9
   185	    9233	80.5
   186	    9285	81.0
   187	    9333	81.4
   188	    9382	82.0
   189	    9444	82.4
   190	    9483	83.0
   191	    9532	83.4
   192	    9583	84.0
   193	    9633	84.3
   194	    9683	84.8
   195	    9733	85.4
   196	    9783	86.2
   197	    9833	86.7
   198	    9884	87.0
   199	    9933	87.6
   200	    9982	88.0
   201	   10033	88.3
   202	   10083	88.7
   203	   10132	89.2
   204	   10182	89.6
   205	   10231	90.0
   206	   10282	90.4
   207	   10332	90.7
   208	   10383	91.2
   209	   10433	91.9
   210	   10483	92.3
   211	   10532	92.6
   212	   10582	93.0
   213	   10632	93.3
   214	   10682	93.7
   215	   10733	94.0
   216	   10782	94.2
   217	   10832	94.7
   218	   10882	94.8
   219	   10933	95.2
   220	   10982	95.3
   221	   11038	95.5
   222	   11082	95.6
   223	   11133	95.6
   224	   11183	95.5
   225	   11233	95.3
   226	   11282	95.2
   227	   11333	94.8
   228	   11383	94.5
   229	   11433	94.4
   230	   11483	94.0
   231	   11533	94.0
   232	   11583	93.7
   233	   11633	93.7
   234	   11683	93.5
   235	   11733	93.5
   236	   11783	93.5
   237	   11833	93.8
   238	   11883	93.8
   239	   11933	94.1
   240	   11982	94.2
   241	   12033	94.5
   242	   12083	94.7
   243	   12133	94.8
   244	   12183	95.2
   245	   12233	95.3
   246	   12282	95.5
   247	   12332	95.5
   248	   12383	95.5
   249	   12432	95.3
   250	   12483	95.3
   251	   12533	95.2
   252	   12582	95.0
   253	   12633	94.8
   254	   12682	94.5
   255	   12733	94.4
   256	   12782	94.2
   257	   12835	94.1
   258	   12883	94.0
   259	   12933	94.0
   260	   12982	94.0
   261	   13034	94.0
   262	   13083	94.1
   263	   13133	94.2
   264	   13183	94.4
   265	   13233	94.5
   266	   13283	94.7
   267	   13333	94.8
   268	   13383	95.0
   269	   13442	95.2
   270	   13483	95.3
   271	   13532	95.3
   272	   13581	95.3
   273	   13633	95.3
   274	   13683	95.3
   275	   13733	95.2
   276	   13782	95.0
   277	   13833	94.8
   278	   13883	94.7
   279	   13933	94.7
   280	   13984	94.5
   281	   14034	94.4
   282	   14082	94.2
   283	   14132	94.1
   284	   14183	94.2
   285	   14233	94.2
   286	   14283	94.2
   287	   14334	94.4
   288	   14383	94.4
   289	   14432	94.5
   290	   14483	94.7
   291	   14534	94.8
   292	   14582	94.8
   293	   14633	95.0
   294	   14682	95.2
   295	   14733	95.2
   296	   14783	95.3
   297	   14833	95.3
   298	   14883	95.3
   299	   14933	95.2
   300	   14982	95.0
   301	   15036	95.0
   302	   15083	94.8
   303	   15133	94.7
   304	   15183	94.7
   305	   15233	94.5
   306	   15283	94.5
   307	   15333	94.4
   308	   15383	94.4
   309	   15432	94.4
   310	   15483	94.4
   311	   15533	94.4
   312	   15582	94.5
   313	   15633	94.5
   314	   15682	94.5
   315	   15734	94.7
   316	   15783	94.8
   317	   15833	95.0
   318	   15883	95.0
   319	   15933	95.2
   320	   15985	95.2
   321	   16034	95.3
   322	   16083	95.3
   323	   16133	95.3
   324	   16183	95.2
   325	   16233	95.0
   326	   16283	94.8
   327	   16332	94.4
   328	   16383	94.1
   329	   16432	93.8
   330	   16484	93.3
   331	   16533	93.0
   332	   16583	92.4
   333	   16633	91.3
   334	   16683	90.9
   335	   16733	90.3
   336	   16784	89.6
   337	   16832	89.2
   338	   16882	88.6
   339	   16933	87.9
   340	   16983	87.3
   341	   17033	86.8
   342	   17083	86.4
   343	   17133	85.8
   344	   17183	85.4
   345	   17233	84.8
   346	   17282	84.0
   347	   17332	83.4
   348	   17382	82.9
   349	   17443	82.4
   350	   17485	82.0
   351	   17531	81.6
   352	   17583	81.2
   353	   17633	80.6
   354	   17682	80.2
   355	   17732	79.6
   356	   17783	79.2
   357	   17833	78.9
   358	   17882	78.1
   359	   17933	77.7
   360	   17982	77.3
   361	   18032	76.9
   362	   18082	76.6
   363	   18133	76.2
   364	   18182	75.8
   365	   18233	75.5
   366	   18284	75.1
   367	   18333	74.7
   368	   18383	74.4
   369	   18433	74.1
   370	   18483	73.7
   371	   18532	73.0
   372	   18583	72.8
   373	   18633	72.5
   374	   18682	72.2
   375	   18732	71.9
   376	   18783	71.7
   377	   18833	71.3
   378	   18882	71.0
   379	   18932	70.6
   380	   18983	70.3
   381	   19039	70.1
   382	   19083	69.8
   383	   19133	69.3
   384	   19182	68.9
   385	   19233	68.7
   386	   19284	68.3
   387	   19333	68.1
   388	   19382	67.9
   389	   19433	67.7
   390	   19483	67.4
   391	   19532	67.1
   392	   19583	66.9
   393	   19632	66.6
   394	   19683	66.3
   395	   19733	66.2
   396	   19785	65.8
   397	   19832	65.6
   398	   19882	65.3
   399	   19932	65.0
   400	   19983	64.8
   401	   20033	64.6
   402	   20084	64.4
   403	   20133	64.3
   404	   20183	64.1
   405	   20233	63.8
   406	   20283	63.5
   407	   20333	63.4
   408	   20382	62.9
   409	   20434	62.6
   410	   20483	62.5
   411	   20533	62.3
   412	   20584	62.1
   413	   20633	61.9
   414	   20683	61.8
   415	   20733	61.7
   416	   20782	61.4
   417	   20832	61.3
   418	   20882	61.0
   419	   20933	60.7
   420	   20983	60.5
   421	   21034	60.2
   422	   21083	59.9
   423	   21133	59.8
   424	   21183	59.7
   425	   21233	59.5
   426	   21283	59.3
   427	   21333	59.1
   428	   21382	58.9
   429	   21444	58.7
   430	   21483	58.6
   431	   21532	58.5
   432	   21582	58.3
   433	   21633	57.9
   434	   21682	57.8
   435	   21733	57.7
   436	   21783	57.5
   437	   21833	57.3
   438	   21882	57.1
   439	   21932	57.0
   440	   21982	56.9
   441	   22033	56.7
   442	   22083	56.6
   443	   22132	56.3
   444	   22183	56.2
   445	   22233	55.9
   446	   22282	55.8
   447	   22332	55.6
   448	   22382	55.5
   449	   22432	55.4
   450	   22483	55.4
   451	   22532	55.2
   452	   22583	55.1
   453	   22633	55.1
   454	   22683	55.0
   455	   22733	54.8
   456	   22784	54.7
   457	   22833	54.7
   458	   22882	54.5
   459	   22933	54.5
   460	   22983	54.4
   461	   23037	54.2
   462	   23082	54.1
   463	   23132	54.1
   464	   23183	54.0
   465	   23233	53.8
   466	   23283	53.7
   467	   23333	53.7
   468	   23383	53.6
   469	   23433	53.4
   470	   23483	53.3
   471	   23533	53.2
   472	   23583	53.2
   473	   23633	53.2
   474	   23682	53.0
   475	   23733	53.0
   476	   23782	52.9
   477	   23833	52.7
   478	   23883	52.7
   479	   23933	52.6
   480	   23983	52.6
   481	   24032	52.5
   482	   24084	52.5
   483	   24133	52.3
   484	   24183	52.3
   485	   24233	52.3
   486	   24282	52.2
   487	   24333	52.2
   488	   24382	52.2
   489	   24433	52.3
   490	   24483	52.5
   491	   24533	52.9
   492	   24583	53.3
   493	   24633	53.8
   494	   24682	54.4
   495	   24734	55.8
   496	   24781	56.6
   497	   24832	57.4
   498	   24882	58.2
   499	   24933	58.9
   500	   24981	59.7
   501	   25032	60.2
   502	   25082	60.7
   503	   25133	61.1
   504	   25183	61.5
   505	   25233	61.7
   506	   25283	61.8
   507	   25333	61.9
   508	   25383	62.1
