Number	Time	Temperature
     1	      30	28.6
     2	      80	28.6
     3	     131	28.6
     4	     180	28.6
     5	     230	28.8
     6	     280	29.2
     7	     330	29.5
     8	     380	30.1
     9	     430	30.8
    10	     480	31.7
    11	     529	32.5
    12	     580	33.4
    13	     630	35.3
    14	     680	36.5
    15	     730	37.6
    16	     780	38.7
    17	     830	39.6
    18	     881	40.9
    19	     930	41.9
    20	     980	43.0
    21	    1029	44.2
    22	    1079	45.1
    23	    1130	46.3
    24	    1181	47.3
    25	    1230	49.4
    26	    1282	50.2
    27	    1330	51.2
    28	    1380	52.1
    29	    1430	53.0
    30	    1480	53.6
    31	    1529	54.1
    32	    1581	54.5
    33	    1632	54.6
    34	    1681	54.8
    35	    1729	54.8
    36	    1784	54.8
    37	    1830	54.6
    38	    1879	54.5
    39	    1930	54.4
    40	    1981	54.1
    41	    2031	53.8
    42	    2079	53.6
    43	    2130	53.3
    44	    2181	53.0
    45	    2230	52.7
    46	    2279	52.5
    47	    2330	52.1
