Number	Time	Temperature
     1	      23	54.5
     2	      73	54.3
     3	     124	54.2
     4	     173	53.9
     5	     221	53.8
     6	     272	53.7
     7	     323	53.5
     8	     373	53.4
     9	     422	53.2
    10	     474	53.2
    11	     524	53.1
    12	     573	53.0
    13	     623	52.8
    14	     673	52.7
    15	     723	52.6
    16	     773	52.4
    17	     823	52.3
    18	     873	52.1
    19	     923	52.0
    20	     973	51.9
    21	    1023	51.9
    22	    1074	51.7
    23	    1123	51.6
    24	    1173	51.4
    25	    1223	51.4
    26	    1273	51.3
    27	    1323	51.2
    28	    1373	51.2
    29	    1424	51.0
    30	    1474	50.9
    31	    1524	50.7
    32	    1573	50.6
    33	    1623	50.6
    34	    1672	50.5
    35	    1722	50.5
    36	    1772	50.3
    37	    1822	50.2
    38	    1873	50.2
    39	    1923	50.2
    40	    1973	50.0
    41	    2023	50.0
    42	    2072	49.8
    43	    2122	49.6
    44	    2173	49.6
    45	    2223	49.6
    46	    2274	49.5
    47	    2323	49.5
    48	    2372	49.3
    49	    2423	49.2
    50	    2473	49.2
    51	    2523	49.2
    52	    2573	49.1
    53	    2623	49.1
    54	    2673	48.9
    55	    2723	48.9
    56	    2773	48.8
    57	    2823	48.8
    58	    2873	48.6
    59	    2923	48.6
    60	    2973	48.6
    61	    3023	48.5
    62	    3072	48.5
    63	    3123	48.4
    64	    3173	48.4
    65	    3223	48.4
    66	    3273	48.2
    67	    3323	48.1
    68	    3373	48.1
    69	    3423	48.1
    70	    3472	47.9
    71	    3522	47.9
    72	    3573	47.9
    73	    3623	47.8
    74	    3673	47.8
    75	    3723	47.8
    76	    3773	47.6
    77	    3823	47.6
    78	    3873	47.6
    79	    3923	47.5
    80	    3972	47.5
    81	    4023	47.3
    82	    4073	47.3
    83	    4123	47.3
    84	    4173	47.2
    85	    4223	47.2
    86	    4272	47.2
    87	    4322	47.1
    88	    4373	46.9
    89	    4423	47.1
    90	    4473	46.9
    91	    4523	46.9
    92	    4573	46.8
    93	    4622	46.8
    94	    4674	46.8
    95	    4724	46.8
    96	    4773	46.6
    97	    4823	46.6
    98	    4872	46.6
    99	    4923	46.5
   100	    4972	46.5
   101	    5024	46.5
   102	    5074	46.5
   103	    5124	46.3
   104	    5172	46.3
   105	    5223	46.3
   106	    5273	46.3
   107	    5323	46.2
   108	    5373	46.2
   109	    5422	46.2
   110	    5473	46.2
   111	    5523	46.0
   112	    5573	46.0
   113	    5623	46.0
   114	    5673	45.9
   115	    5723	45.9
   116	    5773	45.9
   117	    5823	45.9
   118	    5872	46.0
   119	    5922	45.8
   120	    5972	46.2
   121	    6023	46.3
   122	    6072	46.6
   123	    6122	46.9
   124	    6172	47.3
   125	    6224	47.8
   126	    6273	48.2
   127	    6323	48.6
   128	    6373	49.9
   129	    6422	50.6
   130	    6473	51.2
   131	    6521	51.9
   132	    6573	52.4
   133	    6622	53.0
   134	    6673	53.2
   135	    6723	53.7
   136	    6773	53.9
   137	    6823	54.1
   138	    6874	54.2
   139	    6923	54.2
   140	    6972	54.3
   141	    7022	54.2
   142	    7073	54.2
   143	    7123	54.1
   144	    7173	54.1
   145	    7223	53.9
   146	    7273	53.8
   147	    7323	53.7
   148	    7374	53.5
   149	    7424	53.5
   150	    7473	53.4
   151	    7521	53.2
   152	    7573	53.1
   153	    7623	53.0
   154	    7672	52.7
   155	    7722	52.4
   156	    7773	52.4
   157	    7823	52.3
   158	    7872	52.1
   159	    7923	52.0
   160	    7973	51.9
   161	    8023	51.7
   162	    8073	51.4
   163	    8123	51.4
   164	    8173	51.3
   165	    8223	51.3
   166	    8273	51.0
   167	    8323	50.9
   168	    8373	50.7
   169	    8423	50.6
   170	    8473	50.6
   171	    8523	50.5
   172	    8573	50.3
   173	    8623	50.2
   174	    8672	50.2
   175	    8723	50.0
   176	    8773	49.9
   177	    8823	49.9
   178	    8873	49.6
   179	    8923	49.6
   180	    8973	49.5
   181	    9022	49.3
   182	    9073	49.3
   183	    9123	49.2
   184	    9173	49.2
   185	    9223	49.1
   186	    9273	49.1
   187	    9323	48.9
   188	    9373	48.8
   189	    9423	48.8
   190	    9472	48.6
   191	    9523	48.5
   192	    9573	48.5
   193	    9620	48.4
   194	    9672	48.
