Number	Time	Temperature
     1	      19	50.0
     2	      68	50.1
     3	     118	50.1
     4	     168	50.2
     5	     219	50.2
     6	     269	50.2
     7	     319	50.2
     8	     368	50.2
     9	     419	50.1
    10	     468	50.1
    11	     519	50.1
    12	     569	50.1
    13	     619	50.0
    14	     668	50.0
    15	     719	49.8
    16	     768	49.8
    17	     819	49.8
    18	     868	49.8
    19	     918	49.8
    20	     968	49.5
    21	    1018	49.8
    22	    1073	49.8
    23	    1119	50.0
    24	    1168	49.8
    25	    1233	50.0
    26	    1268	50.1
    27	    1318	50.2
    28	    1368	50.2
    29	    1419	50.4
    30	    1469	50.4
    31	    1519	50.4
    32	    1570	50.4
    33	    1622	50.4
    34	    1671	50.4
    35	    1719	50.2
    36	    1768	50.2
    37	    1819	50.2
    38	    1868	50.2
    39	    1918	50.1
    40	    1969	50.1
    41	    2019	49.8
    42	    2071	50.0
    43	    2119	49.8
    44	    2169	49.8
    45	    2219	49.8
    46	    2270	49.8
    47	    2318	49.8
    48	    2368	49.8
    49	    2418	49.8
    50	    2468	49.5
    51	    2518	49.7
    52	    2568	50.0
    53	    2618	50.0
    54	    2668	50.1
    55	    2718	50.1
    56	    2768	50.1
    57	    2822	50.1
    58	    2868	50.2
    59	    2921	50.2
    60	    2969	50.2
    61	    3062	50.1
    62	    3073	50.1
    63	    3118	50.0
    64	    3170	50.1
    65	    3221	50.0
    66	    3271	50.0
    67	    3318	49.8
    68	    3368	49.8
    69	    3418	49.8
    70	    3468	49.8
    71	    3518	49.8
    72	    3568	49.8
    73	    3629	49.8
    74	    3668	49.8
    75	    3718	49.8
    76	    3768	50.0
    77	    3818	50.1
    78	    3868	50.1
    79	    3919	50.1
    80	    3968	50.2
    81	    4019	50.2
    82	    4070	50.2
    83	    4120	50.2
    84	    4169	50.1
    85	    4218	50.1
    86	    4269	50.1
    87	    4318	50.1
    88	    4369	50.1
    89	    4419	50.0
    90	    4468	49.8
    91	    4518	49.8
    92	    4568	49.8
    93	    4618	49.8
    94	    4668	49.7
    95	    4720	49.7
    96	    4771	49.8
    97	    4820	49.8
    98	    4871	49.8
    99	    4922	49.8
   100	    4968	50.0
   101	    5019	50.1
   102	    5068	50.1
   103	    5121	50.2
   104	    5170	50.1
   105	    5226	50.2
   106	    5269	50.2
   107	    5318	50.2
   108	    5382	50.2
   109	    5429	50.2
   110	    5475	50.1
   111	    5522	50.1
   112	    5567	49.8
   113	    5618	50.0
   114	    5669	49.8
   115	    5719	49.7
   116	    5768	49.8
   117	    5818	49.8
   118	    5868	49.8
   119	    5934	49.8
   120	    5968	49.8
   121	    6021	49.8
   122	    6069	49.8
   123	    6118	50.0
   124	    6168	50.0
   125	    6219	50.1
   126	    6268	50.2
   127	    6318	50.2
   128	    6369	50.2
   129	    6421	50.2
   130	    6471	50.2
   131	    6520	50.2
   132	    6569	50.1
   133	    6618	50.1
   134	    6668	50.1
   135	    6718	50.0
   136	    6768	50.0
   137	    6820	49.8
   138	    6870	49.8
   139	    6920	49.8
   140	    6973	49.7
   141	    7018	49.7
   142	    7071	49.7
   143	    7124	49.8
   144	    7170	49.8
   145	    7220	49.8
   146	    7275	49.8
   147	    7335	50.0
   148	    7374	50.0
   149	    7421	50.1
   150	    7472	50.1
   151	    7519	50.2
   152	    7572	50.2
   153	    7619	50.2
   154	    7698	50.2
