Cycle	Time	Value
     1	      21	56.0
     2	      73	57.0
     3	     122	52.0
     4	     173	55.0
     5	     223	61.0
     6	     273	50.0
     7	     323	58.0
     8	     373	58.0
     9	     423	56.0
    10	     472	53.0
    11	     523	52.0
    12	     572	56.0
    13	     622	55.0
    14	     674	56.0
    15	     721	56.0
    16	     773	57.0
    17	     822	54.0
    18	     872	56.0
    19	     922	54.0
    20	     973	56.0
    21	    1022	54.0
    22	    1072	57.0
    23	    1122	54.0
    24	    1173	53.0
    25	    1222	61.0
    26	    1271	54.0
    27	    1320	56.0
    28	    1372	57.0
    29	    1423	55.0
    30	    1473	57.0
    31	    1523	56.0
    32	    1572	56.0
    33	    1622	55.0
    34	    1673	54.0
    35	    1723	59.0
    36	    1772	54.0
    37	    1823	58.0
    38	    1873	56.0
    39	    1921	58.0
    40	    1973	55.0
    41	    2023	54.0
    42	    2073	57.0
    43	    2123	59.0
    44	    2174	54.0
    45	    2221	58.0
    46	    2273	52.0
    47	    2324	55.0
    48	    2373	56.0
    49	    2423	56.0
    50	    2471	58.0
    51	    2522	59.0
    52	    2573	54.0
    53	    2623	57.0
    54	    2673	55.0
    55	    2723	59.0
    56	    2773	57.0
    57	    2823	57.0
    58	    2873	60.0
    59	    2923	55.0
    60	    2973	61.0
    61	    3021	53.0
    62	    3073	56.0
    63	    3123	55.0
    64	    3173	55.0
    65	    3221	53.0
    66	    3272	55.0
    67	    3323	57.0
    68	    3371	53.0
    69	    3423	55.0
    70	    3473	57.0
    71	    3523	56.0
    72	    3572	58.0
    73	    3622	57.0
    74	    3673	58.0
    75	    3721	58.0
    76	    3774	55.0
    77	    3823	55.0
    78	    3872	57.0
    79	    3924	56.0
    80	    3972	59.0
    81	    4021	54.0
    82	    4073	60.0
    83	    4124	55.0
    84	    4173	56.0
    85	    4223	56.0
    86	    4273	55.0
    87	    4323	58.0
    88	    4373	56.0
    89	    4423	58.0
    90	    4473	52.0
    91	    4522	60.0
    92	    4573	56.0
    93	    4622	55.0
    94	    4672	55.0
    95	    4721	55.0
    96	    4773	56.0
    97	    4823	57.0
    98	    4873	54.0
    99	    4923	52.0
   100	    4972	55.0
   101	    5025	57.0
   102	    5072	58.0
   103	    5122	53.0
   104	    5172	57.0
   105	    5222	56.0
   106	    5273	54.0
   107	    5321	59.0
