Cycle	Time	Value
     1	      34	0.0
     2	      83	0.0
     3	     133	0.0
     4	     183	0.0
     5	     233	0.0
     6	     283	0.0
     7	     333	0.0
     8	     383	0.0
     9	     433	0.0
    10	     483	0.0
    11	     533	0.0
    12	     583	0.0
    13	     633	0.0
    14	     682	0.0
    15	     733	0.0
    16	     783	0.0
    17	     833	0.0
    18	     886	0.0
    19	     935	0.0
    20	     983	0.0
    21	    1033	0.0
    22	    1082	0.0
    23	    1133	0.0
    24	    1183	0.0
    25	    1233	0.0
    26	    1283	0.0
    27	    1333	0.0
    28	    1383	0.0
    29	    1433	0.0
    30	    1483	0.0
    31	    1533	0.0
    32	    1584	0.0
    33	    1633	0.0
    34	    1684	0.0
    35	    1734	0.0
    36	    1783	0.0
    37	    1834	0.0
    38	    1883	0.0
    39	    1933	0.0
    40	    1982	0.0
    41	    2033	0.0
    42	    2083	0.0
    43	    2133	0.0
    44	    2183	0.0
    45	    2232	0.0
    46	    2283	0.0
    47	    2333	0.0
    48	    2383	0.0
    49	    2433	0.0
    50	    2483	0.0
    51	    2533	0.0
    52	    2583	0.0
    53	    2633	0.0
    54	    2683	0.0
    55	    2733	0.0
    56	    2783	0.0
    57	    2834	0.0
    58	    2883	0.0
    59	    2933	0.0
    60	    2985	0.0
    61	    3034	0.0
    62	    3083	0.0
    63	    3133	0.0
    64	    3183	0.0
    65	    3233	0.0
    66	    3283	0.0
    67	    3333	0.0
    68	    3382	0.0
    69	    3433	0.0
    70	    3483	0.0
    71	    3533	0.0
    72	    3583	0.0
    73	    3633	0.0
    74	    3683	0.0
    75	    3733	0.0
    76	    3783	0.0
    77	    3833	0.0
    78	    3883	0.0
    79	    3933	0.0
    80	    3983	0.0
    81	    4033	0.0
    82	    4082	0.0
    83	    4133	0.0
    84	    4182	0.0
    85	    4233	0.0
    86	    4283	0.0
    87	    4332	0.0
    88	    4384	0.0
    89	    4434	0.0
    90	    4482	0.0
    91	    4533	0.0
    92	    4583	1.0
    93	    4634	0.0
    94	    4683	0.0
    95	    4733	0.0
    96	    4782	0.0
    97	    4833	0.0
    98	    4882	0.0
    99	    4938	0.0
   100	    4982	0.0
   101	    5033	0.0
   102	    5082	0.0
   103	    5134	0.0
   104	    5183	0.0
   105	    5232	0.0
   106	    5283	0.0
   107	    5333	0.0
   108	    5382	0.0
   109	    5432	0.0
   110	    5483	0.0
   111	    5533	0.0
   112	    5583	0.0
   113	    5632	0.0
   114	    5682	0.0
   115	    5732	0.0
   116	    5783	0.0
   117	    5833	0.0
   118	    5882	0.0
   119	    5933	0.0
   120	    5983	0.0
   121	    6033	0.0
   122	    6083	0.0
   123	    6133	0.0
   124	    6183	0.0
   125	    6233	0.0
   126	    6283	0.0
   127	    6333	0.0
   128	    6382	0.0
   129	    6433	0.0
   130	    6482	0.0
   131	    6533	0.0
   132	    6584	0.0
   133	    6633	0.0
   134	    6683	0.0
   135	    6733	0.0
   136	    6782	0.0
   137	    6833	0.0
   138	    6882	0.0
   139	    6935	0.0
   140	    6982	0.0
   141	    7033	0.0
   142	    7083	0.0
   143	    7159	0.0
   144	    7210	0.0
   145	    7302	0.0
   146	    7344	0.0
   147	    7383	0.0
   148	    7432	0.0
   149	    7483	0.0
   150	    7533	0.0
   151	    7583	0.0
   152	    7632	0.0
   153	    7682	0.0
   154	    7733	0.0
   155	    7783	0.0
   156	    7841	0.0
   157	    7884	0.0
   158	    7933	0.0
   159	    7982	0.0
   160	    8033	0.0
   161	    8083	0.0
   162	    8132	0.0
   163	    8183	0.0
   164	    8233	0.0
   165	    8283	0.0
   166	    8333	0.0
   167	    8382	0.0
   168	    8433	0.0
   169	    8483	0.0
   170	    8534	0.0
   171	    8583	0.0
   172	    8633	0.0
   173	    8683	0.0
   174	    8733	0.0
   175	    8783	0.0
   176	    8833	0.0
