Number	Time	Temperature
     1	      21	26.6
     2	      73	26.6
     3	     122	26.3
     4	     173	26.3
     5	     223	26.7
     6	     273	27.3
     7	     323	27.7
     8	     373	28.4
     9	     423	29.2
    10	     472	30.1
    11	     523	31.0
    12	     572	32.0
    13	     622	33.1
    14	     674	33.9
    15	     721	35.2
    16	     773	36.0
    17	     822	38.2
    18	     872	39.3
    19	     922	40.6
    20	     973	41.5
    21	    1022	42.5
    22	    1072	43.6
    23	    1122	44.7
    24	    1173	45.5
    25	    1222	46.7
    26	    1271	47.7
    27	    1320	48.6
    28	    1372	49.5
    29	    1423	50.4
    30	    1473	52.1
    31	    1523	52.9
    32	    1572	53.3
    33	    1622	53.7
    34	    1673	54.1
    35	    1723	54.2
    36	    1772	54.4
    37	    1823	54.4
    38	    1873	54.4
    39	    1921	54.2
    40	    1973	54.1
    41	    2023	54.0
    42	    2073	53.4
    43	    2123	53.2
    44	    2174	52.7
    45	    2221	52.5
    46	    2273	52.2
    47	    2324	51.8
    48	    2373	51.5
    49	    2423	51.2
    50	    2471	50.8
    51	    2522	50.7
    52	    2573	50.4
    53	    2622	50.0
    54	    2673	49.7
    55	    2723	49.4
    56	    2773	49.1
    57	    2823	49.1
    58	    2873	49.1
    59	    2923	49.3
    60	    2973	49.5
    61	    3021	49.7
    62	    3073	50.0
    63	    3123	50.1
    64	    3173	50.5
    65	    3221	50.8
    66	    3272	50.9
    67	    3323	51.2
    68	    3371	51.4
    69	    3423	51.4
    70	    3473	51.4
    71	    3523	51.4
    72	    3572	51.2
    73	    3622	51.1
    74	    3673	50.9
    75	    3721	50.8
    76	    3774	50.5
    77	    3823	50.4
    78	    3872	50.2
    79	    3924	49.8
    80	    3972	49.7
    81	    4021	49.5
    82	    4073	49.5
    83	    4124	49.5
    84	    4173	49.4
    85	    4223	49.4
    86	    4273	49.7
    87	    4323	49.7
    88	    4373	50.1
    89	    4423	50.2
    90	    4473	50.5
    91	    4522	50.5
    92	    4573	50.9
    93	    4622	50.9
    94	    4672	51.1
    95	    4721	50.9
    96	    4773	50.9
    97	    4823	50.9
    98	    4873	50.8
    99	    4923	50.8
   100	    4972	50.7
   101	    5025	50.5
   102	    5072	50.2
   103	    5122	50.2
   104	    5172	50.0
   105	    5222	49.8
   106	    5273	49.7
   107	    5321	49.7
