Cycle	Time	Value
     1	      33	58.0
     2	      84	63.0
     3	     133	61.0
     4	     183	57.0
     5	     233	59.0
     6	     282	60.0
     7	     332	62.0
     8	     382	57.0
     9	     432	58.0
    10	     483	59.0
    11	     533	60.0
    12	     582	57.0
    13	     632	61.0
    14	     683	57.0
    15	     733	58.0
    16	     783	57.0
    17	     833	58.0
    18	     883	63.0
    19	     933	63.0
    20	     983	56.0
    21	    1032	61.0
    22	    1083	59.0
    23	    1133	59.0
    24	    1182	54.0
    25	    1233	60.0
    26	    1283	59.0
    27	    1333	63.0
    28	    1383	56.0
    29	    1446	60.0
    30	    1482	58.0
    31	    1532	59.0
    32	    1582	57.0
    33	    1632	56.0
    34	    1684	60.0
    35	    1733	58.0
    36	    1782	62.0
    37	    1833	55.0
    38	    1882	61.0
    39	    1933	58.0
    40	    1983	59.0
    41	    2033	58.0
    42	    2083	58.0
    43	    2133	60.0
    44	    2183	60.0
    45	    2233	56.0
    46	    2283	55.0
    47	    2333	58.0
    48	    2382	58.0
    49	    2433	58.0
    50	    2483	56.0
    51	    2533	57.0
    52	    2582	59.0
    53	    2633	61.0
    54	    2683	58.0
    55	    2734	61.0
    56	    2783	60.0
    57	    2833	61.0
    58	    2883	54.0
    59	    2934	55.0
    60	    2982	63.0
    61	    3039	56.0
    62	    3082	60.0
    63	    3132	61.0
    64	    3183	60.0
    65	    3233	57.0
    66	    3283	56.0
    67	    3333	60.0
    68	    3383	57.0
    69	    3433	60.0
    70	    3483	60.0
    71	    3531	57.0
    72	    3583	60.0
    73	    3633	57.0
    74	    3683	57.0
    75	    3733	58.0
    76	    3783	60.0
    77	    3832	57.0
    78	    3883	58.0
    79	    3933	60.0
    80	    3982	61.0
    81	    4031	57.0
    82	    4084	57.0
    83	    4133	57.0
    84	    4182	59.0
    85	    4233	63.0
    86	    4283	60.0
    87	    4333	57.0
    88	    4382	60.0
    89	    4432	59.0
    90	    4481	56.0
    91	    4532	60.0
    92	    4583	61.0
    93	    4633	58.0
    94	    4683	62.0
    95	    4733	57.0
    96	    4783	59.0
    97	    4833	60.0
    98	    4883	58.0
    99	    4933	54.0
   100	    4982	59.0
   101	    5033	59.0
   102	    5083	60.0
   103	    5133	56.0
   104	    5183	64.0
   105	    5233	61.0
   106	    5282	60.0
   107	    5332	59.0
   108	    5383	60.0
   109	    5451	61.0
   110	    5482	64.0
   111	    5532	58.0
   112	    5582	65.0
   113	    5632	66.0
   114	    5684	62.0
   115	    5732	63.0
   116	    5783	61.0
   117	    5833	62.0
   118	    5883	64.0
   119	    5933	66.0
   120	    5984	60.0
   121	    6032	68.0
   122	    6083	63.0
   123	    6133	63.0
   124	    6182	62.0
   125	    6233	64.0
   126	    6282	66.0
   127	    6333	67.0
   128	    6382	63.0
   129	    6432	61.0
   130	    6483	63.0
   131	    6533	68.0
   132	    6582	67.0
   133	    6633	62.0
   134	    6682	66.0
   135	    6732	69.0
   136	    6782	63.0
   137	    6833	69.0
   138	    6883	63.0
   139	    6933	69.0
   140	    6983	62.0
   141	    7038	62.0
   142	    7083	65.0
   143	    7133	67.0
   144	    7183	67.0
   145	    7232	62.0
   146	    7282	66.0
   147	    7332	64.0
   148	    7382	68.0
   149	    7433	64.0
   150	    7484	67.0
   151	    7532	61.0
   152	    7583	65.0
   153	    7632	64.0
   154	    7683	64.0
   155	    7733	62.0
   156	    7783	68.0
   157	    7833	63.0
   158	    7882	66.0
   159	    7933	64.0
   160	    7983	64.0
   161	    8034	64.0
   162	    8083	63.0
   163	    8133	65.0
   164	    8183	65.0
   165	    8232	62.0
   166	    8282	63.0
   167	    8332	64.0
   168	    8383	64.0
   169	    8433	69.0
   170	    8482	60.0
   171	    8534	66.0
   172	    8582	69.0
   173	    8632	69.0
   174	    8683	60.0
   175	    8734	66.0
   176	    8783	66.0
   177	    8832	65.0
   178	    8883	61.0
   179	    8933	67.0
   180	    8983	65.0
   181	    9033	64.0
   182	    9082	63.0
   183	    9134	66.0
   184	    9184	64.0
   185	    9233	65.0
   186	    9285	65.0
   187	    9333	68.0
   188	    9382	63.0
   189	    9444	66.0
   190	    9483	63.0
   191	    9532	62.0
   192	    9583	62.0
   193	    9633	60.0
   194	    9683	65.0
   195	    9733	63.0
   196	    9783	62.0
   197	    9833	65.0
   198	    9884	66.0
   199	    9933	63.0
   200	    9982	64.0
   201	   10033	67.0
   202	   10083	63.0
   203	   10133	60.0
   204	   10182	67.0
   205	   10231	63.0
   206	   10282	64.0
   207	   10332	68.0
   208	   10383	65.0
   209	   10433	64.0
   210	   10483	61.0
   211	   10532	60.0
   212	   10582	63.0
   213	   10632	66.0
   214	   10682	67.0
   215	   10733	66.0
   216	   10782	63.0
   217	   10832	67.0
   218	   10882	63.0
   219	   10933	67.0
   220	   10982	64.0
   221	   11038	64.0
   222	   11082	63.0
   223	   11133	62.0
   224	   11183	65.0
   225	   11233	64.0
   226	   11282	65.0
   227	   11333	68.0
   228	   11383	57.0
   229	   11433	63.0
   230	   11483	64.0
   231	   11533	69.0
   232	   11583	69.0
   233	   11633	61.0
   234	   11683	65.0
   235	   11733	64.0
   236	   11783	61.0
   237	   11833	65.0
   238	   11883	63.0
   239	   11933	66.0
   240	   11982	68.0
   241	   12033	68.0
   242	   12083	66.0
   243	   12133	64.0
   244	   12183	64.0
   245	   12233	62.0
   246	   12282	65.0
   247	   12333	66.0
   248	   12383	60.0
   249	   12432	68.0
   250	   12483	64.0
   251	   12533	62.0
   252	   12582	64.0
   253	   12633	64.0
   254	   12682	63.0
   255	   12733	64.0
   256	   12782	65.0
   257	   12835	65.0
   258	   12883	62.0
   259	   12933	66.0
   260	   12982	64.0
