Cycle	Time	Value
     1	       3	0.0
     2	      50	0.0
     3	      97	0.0
     4	     147	0.0
     5	     199	0.0
     6	     247	0.0
     7	     297	0.0
     8	     347	0.0
     9	     397	1.0
    10	     448	1.0
    11	     500	0.0
    12	     548	0.0
    13	     599	0.0
    14	     647	0.0
    15	     697	0.0
    16	     747	0.0
    17	     797	0.0
    18	     847	0.0
    19	     897	0.0
    20	     950	0.0
    21	     997	0.0
    22	    1047	0.0
    23	    1099	0.0
    24	    1149	0.0
    25	    1200	0.0
    26	    1251	0.0
    27	    1299	0.0
    28	    1350	0.0
    29	    1439	0.0
    30	    1549	0.0
    31	    1597	0.0
    32	    1649	0.0
    33	    1697	0.0
    34	    1750	0.0
    35	    1797	0.0
    36	    1852	0.0
    37	    1905	0.0
    38	    1950	0.0
    39	    1999	0.0
    40	    2050	0.0
    41	    2097	0.0
    42	    2149	0.0
    43	    2199	0.0
    44	    2247	0.0
    45	    2299	0.0
    46	    2348	0.0
    47	    2399	0.0
    48	    2447	0.0
    49	    2497	0.0
    50	    2547	0.0
    51	    2597	0.0
    52	    2649	0.0
    53	    2699	0.0
    54	    2747	0.0
    55	    2798	0.0
    56	    2850	0.0
    57	    2899	0.0
    58	    2949	0.0
    59	    2999	0.0
    60	    3048	0.0
    61	    3097	0.0
    62	    3148	0.0
    63	    3197	0.0
    64	    3249	0.0
    65	    3300	0.0
    66	    3350	0.0
    67	    3399	0.0
    68	    3450	0.0
    69	    3497	0.0
    70	    3547	0.0
    71	    3600	0.0
    72	    3649	0.0
    73	    3697	0.0
    74	    3747	0.0
    75	    3797	0.0
    76	    3850	0.0
    77	    3897	0.0
    78	    3949	0.0
    79	    3997	0.0
    80	    4047	0.0
    81	    4100	0.0
    82	    4147	0.0
    83	    4197	0.0
    84	    4247	0.0
    85	    4299	0.0
    86	    4350	0.0
    87	    4397	0.0
    88	    4450	0.0
    89	    4499	0.0
    90	    4549	1.0
    91	    4597	0.0
    92	    4647	0.0
    93	    4697	0.0
    94	    4747	0.0
    95	    4798	0.0
    96	    4848	0.0
    97	    4899	0.0
    98	    4949	0.0
    99	    4998	0.0
   100	    5050	0.0
   101	    5097	0.0
   102	    5147	0.0
   103	    5199	0.0
   104	    5250	0.0
   105	    5299	0.0
   106	    5347	0.0
   107	    5399	0.0
   108	    5450	0.0
   109	    5497	0.0
   110	    5547	0.0
   111	    5599	0.0
   112	    5647	0.0
   113	    5699	0.0
   114	    5749	0.0
   115	    5797	0.0
   116	    5849	0.0
   117	    5897	0.0
   118	    5950	0.0
   119	    5998	0.0
   120	    6048	0.0
   121	    6100	0.0
   122	    6147	0.0
   123	    6199	0.0
   124	    6249	0.0
   125	    6298	0.0
   126	    6349	0.0
   127	    6397	0.0
   128	    6448	0.0
   129	    6498	0.0
   130	    6549	0.0
   131	    6599	0.0
   132	    6649	0.0
   133	    6700	0.0
   134	    6747	0.0
   135	    6797	0.0
   136	    6849	0.0
   137	    6897	0.0
   138	    6950	0.0
   139	    6999	0.0
   140	    7049	0.0
   141	    7098	1.0
   142	    7149	0.0
   143	    7199	0.0
   144	    7250	0.0
   145	    7298	0.0
   146	    7349	0.0
   147	    7400	0.0
   148	    7449	0.0
   149	    7497	0.0
   150	    7550	0.0
   151	    7600	0.0
   152	    7649	0.0
   153	    7697	0.0
   154	    7747	0.0
   155	    7798	0.0
   156	    7849	0.0
   157	    7897	0.0
   158	    7949	0.0
   159	    7999	0.0
   160	    8048	0.0
   161	    8099	0.0
   162	    8147	0.0
   163	    8199	0.0
   164	    8249	0.0
   165	    8297	0.0
   166	    8349	0.0
   167	    8400	0.0
   168	    8449	0.0
   169	    8497	0.0
   170	    8548	0.0
   171	    8599	0.0
   172	    8650	0.0
   173	    8699	0.0
   174	    8749	0.0
   175	    8799	0.0
   176	    8849	0.0
   177	    8896	0.0
   178	    8950	0.0
   179	    8997	0.0
   180	    9049	0.0
   181	    9171	0.0
   182	    9188	0.0
