Cycle	Time	Value
     1	      30	0.0
     2	      80	0.0
     3	     131	0.0
     4	     180	0.0
     5	     230	0.0
     6	     280	0.0
     7	     330	0.0
     8	     380	0.0
     9	     430	0.0
    10	     480	0.0
    11	     529	0.0
    12	     580	0.0
    13	     630	0.0
    14	     680	0.0
    15	     730	0.0
    16	     780	0.0
    17	     830	0.0
    18	     881	0.0
    19	     930	0.0
    20	     980	0.0
    21	    1029	0.0
    22	    1079	0.0
    23	    1130	0.0
    24	    1181	0.0
    25	    1230	0.0
    26	    1282	0.0
    27	    1330	2.0
    28	    1380	0.0
    29	    1430	0.0
    30	    1480	0.0
    31	    1529	0.0
    32	    1581	0.0
    33	    1632	0.0
    34	    1681	0.0
    35	    1729	0.0
    36	    1784	0.0
    37	    1830	0.0
    38	    1879	0.0
    39	    1930	0.0
    40	    1981	0.0
    41	    2031	0.0
    42	    2079	0.0
    43	    2130	0.0
    44	    2181	0.0
    45	    2230	0.0
    46	    2279	0.0
    47	    2330	0.0
