Cycle	Time	Value
     1	      34	0.0
     2	      86	0.0
     3	     136	0.0
     4	     183	0.0
     5	     231	0.0
     6	     285	0.0
     7	     333	0.0
     8	     383	0.0
     9	     431	0.0
    10	     484	0.0
    11	     534	0.0
    12	     584	0.0
    13	     631	0.0
    14	     685	0.0
    15	     733	0.0
    16	     785	0.0
    17	     831	0.0
    18	     885	0.0
    19	     934	0.0
    20	     981	0.0
    21	    1035	0.0
    22	    1084	0.0
    23	    1131	0.0
    24	    1183	0.0
    25	    1231	0.0
    26	    1285	0.0
    27	    1331	0.0
    28	    1381	0.0
    29	    1433	0.0
    30	    1484	0.0
    31	    1534	0.0
    32	    1583	0.0
    33	    1633	0.0
    34	    1681	0.0
    35	    1733	0.0
    36	    1781	0.0
    37	    1834	0.0
    38	    1884	0.0
    39	    1931	0.0
    40	    1983	0.0
    41	    2032	0.0
    42	    2081	0.0
    43	    2131	0.0
    44	    2235	0.0
    45	    2263	0.0
