Cycle	Time	Value
     1	      36	0.0
     2	      85	0.0
     3	     135	0.0
     4	     185	0.0
     5	     235	0.0
     6	     286	0.0
     7	     335	0.0
     8	     385	0.0
     9	     438	1.0
    10	     485	0.0
    11	     535	0.0
    12	     585	0.0
    13	     633	0.0
    14	     685	0.0
    15	     736	0.0
    16	     785	0.0
    17	     835	0.0
    18	     885	0.0
    19	     935	0.0
    20	     985	0.0
    21	    1035	0.0
    22	    1086	0.0
    23	    1135	0.0
    24	    1185	0.0
    25	    1235	0.0
    26	    1285	0.0
    27	    1334	0.0
    28	    1385	0.0
    29	    1435	0.0
    30	    1485	0.0
    31	    1536	0.0
    32	    1585	0.0
    33	    1635	0.0
    34	    1683	0.0
    35	    1735	0.0
    36	    1785	0.0
    37	    1835	0.0
    38	    1886	0.0
    39	    1935	0.0
    40	    1985	0.0
    41	    2035	0.0
    42	    2085	0.0
    43	    2135	0.0
    44	    2185	0.0
    45	    2235	0.0
    46	    2285	0.0
    47	    2335	0.0
    48	    2385	0.0
    49	    2439	0.0
    50	    2485	0.0
    51	    2536	0.0
    52	    2587	0.0
    53	    2635	0.0
    54	    2685	0.0
    55	    2735	0.0
    56	    2786	0.0
    57	    2835	0.0
    58	    2884	0.0
    59	    2935	0.0
    60	    2985	0.0
    61	    3035	0.0
    62	    3085	0.0
    63	    3185	0.0
    64	    3235	0.0
    65	    3285	0.0
    66	    3333	0.0
    67	    3385	0.0
    68	    3435	0.0
    69	    3483	0.0
    70	    3535	0.0
    71	    3585	0.0
    72	    3636	0.0
    73	    3685	0.0
    74	    3735	0.0
    75	    3807	0.0
    76	    3863	0.0
    77	    3886	0.0
    78	    3935	0.0
    79	    3985	0.0
    80	    4036	0.0
    81	    4095	0.0
    82	    4134	0.0
    83	    4185	0.0
    84	    4235	0.0
    85	    4285	0.0
    86	    4336	0.0
    87	    4385	0.0
    88	    4434	0.0
    89	    4485	0.0
    90	    4536	0.0
    91	    4586	0.0
    92	    4635	0.0
    93	    4685	0.0
    94	    4735	0.0
