Number	Time	Temperature
     1	      34	57.7
     2	      86	57.6
     3	     136	57.3
     4	     183	56.9
     5	     231	56.8
     6	     285	56.5
     7	     333	56.4
     8	     383	56.1
     9	     431	56.0
    10	     484	55.8
    11	     534	55.7
    12	     584	55.4
    13	     631	55.3
    14	     685	55.0
    15	     733	55.0
    16	     785	54.7
    17	     831	54.6
    18	     885	54.3
    19	     934	54.2
    20	     981	54.1
    21	    1035	53.9
    22	    1084	53.8
    23	    1131	53.7
    24	    1183	53.5
    25	    1231	53.4
    26	    1285	53.2
    27	    1331	53.1
    28	    1381	53.1
    29	    1433	52.8
    30	    1484	52.7
    31	    1534	52.6
    32	    1583	52.4
    33	    1633	52.3
    34	    1681	52.1
    35	    1733	52.1
    36	    1781	52.0
    37	    1834	51.9
    38	    1884	51.7
    39	    1931	51.7
    40	    1983	51.6
    41	    2032	51.4
    42	    2081	51.3
    43	    2131	51.2
    44	    2235	51.2
    45	    2263	51.0
