Number	Time	Temperature
     1	       3	50.0
     2	      44	50.0
     3	      92	50.0
     4	     142	49.9
     5	     192	49.9
     6	     241	49.9
     7	     293	49.9
     8	     342	50.0
     9	     394	50.0
    10	     442	50.0
    11	     494	50.2
    12	     542	50.3
    13	     592	50.3
    14	     642	50.5
    15	     692	50.7
    16	     741	50.9
    17	     795	51.0
    18	     842	51.2
    19	     893	51.3
    20	     942	51.3
    21	     992	51.4
    22	    1042	51.4
    23	    1092	51.6
    24	    1142	51.7
    25	    1194	51.7
    26	    1245	51.7
    27	    1294	51.7
    28	    1342	51.7
    29	    1393	51.7
    30	    1442	51.6
    31	    1493	51.6
    32	    1542	51.4
    33	    1594	51.4
    34	    1642	51.3
    35	    1692	51.2
    36	    1742	51.0
    37	    1793	51.0
    38	    1842	50.9
    39	    1895	50.7
    40	    1941	50.6
    41	    1991	50.5
    42	    2041	50.3
    43	    2094	50.3
    44	    2142	50.2
    45	    2194	50.0
    46	    2242	50.0
    47	    2291	49.9
    48	    2342	49.8
    49	    2391	49.6
    50	    2442	49.6
    51	    2492	49.5
    52	    2541	49.3
    53	    2592	49.2
    54	    2642	49.2
    55	    2692	49.1
    56	    2741	48.9
    57	    2792	48.9
    58	    2842	48.8
    59	    2892	48.8
    60	    2944	48.6
    61	    2992	48.6
    62	    3042	48.5
    63	    3092	48.5
    64	    3142	48.4
    65	    3192	48.2
    66	    3241	48.2
    67	    3292	48.1
    68	    3342	47.9
    69	    3391	47.9
    70	    3442	47.9
    71	    3492	47.8
    72	    3541	47.8
    73	    3592	47.6
    74	    3653	47.6
    75	    3691	47.6
    76	    3741	47.6
    77	    3792	47.8
    78	    3841	47.9
    79	    3892	47.9
    80	    3943	48.2
    81	    3991	48.4
    82	    4041	48.5
    83	    4092	48.9
    84	    4142	49.2
    85	    4192	49.5
    86	    4242	49.9
    87	    4292	50.2
    88	    4342	50.6
    89	    4392	51.6
    90	    4444	52.0
    91	    4491	52.4
    92	    4544	53.0
    93	    4592	53.4
    94	    4641	53.8
    95	    4691	54.2
    96	    4741	54.6
    97	    4793	55.0
    98	    4841	55.4
    99	    4891	55.7
   100	    4943	56.0
   101	    4992	56.1
   102	    5042	56.4
   103	    5093	56.4
   104	    5141	56.4
   105	    5192	56.4
   106	    5250	56.2
   107	    5291	56.2
   108	    5341	56.1
   109	    5392	56.0
   110	    5441	55.8
   111	    5492	55.8
   112	    5541	55.6
   113	    5592	55.4
   114	    5642	55.2
   115	    5692	55.0
   116	    5741	54.9
   117	    5791	54.6
   118	    5841	54.5
   119	    5892	54.3
   120	    5943	54.2
   121	    5992	54.1
   122	    6042	53.8
   123	    6092	53.7
   124	    6143	53.5
   125	    6192	53.4
   126	    6242	53.2
   127	    6291	53.0
   128	    6341	52.8
   129	    6392	52.7
   130	    6443	52.6
   131	    6491	52.4
   132	    6541	52.3
   133	    6592	52.1
   134	    6641	52.0
   135	    6691	51.9
   136	    6742	51.7
   137	    6792	51.7
   138	    6841	51.6
   139	    6892	51.3
   140	    6941	51.2
   141	    6991	51.2
   142	    7042	51.0
   143	    7092	50.9
   144	    7142	50.9
   145	    7192	50.7
   146	    7242	50.6
   147	    7292	50.5
   148	    7342	50.5
   149	    7392	50.3
   150	    7444	50.2
   151	    7492	50.2
   152	    7542	49.9
   153	    7592	49.8
   154	    7651	49.8
   155	    7693	49.8
   156	    7741	49.6
   157	    7791	49.5
   158	    7843	49.5
   159	    7892	49.3
   160	    7942	49.2
   161	    7992	49.2
   162	    8042	49.1
   163	    8092	49.1
   164	    8141	48.9
   165	    8192	48.9
   166	    8243	48.8
   167	    8292	48.6
   168	    8343	48.6
   169	    8392	48.5
   170	    8442	48.5
   171	    8493	48.5
   172	    8542	48.4
   173	    8592	48.4
   174	    8642	48.2
   175	    8692	48.2
   176	    8742	48.1
   177	    8796	47.9
   178	    8842	47.9
   179	    8892	47.9
   180	    8942	47.8
   181	    8994	47.8
   182	    9044	47.6
   183	    9092	47.6
   184	    9142	47.6
   185	    9191	47.5
   186	    9248	47.5
   187	    9294	47.3
   188	    9343	47.3
   189	    9392	47.3
   190	    9444	47.2
   191	    9493	47.2
   192	    9545	47.1
   193	    9591	47.1
   194	    9644	47.
