Cycle	Time	Value
   292	   14598	0.0
   293	   14640	0.0
   294	   14686	0.0
   295	   14732	0.0
   296	   14778	0.0
   297	   14824	0.0
   298	   14870	0.0
   299	   14918	0.0
   300	   14968	0.0
   301	   15021	0.0
   302	   15069	0.0
   303	   15118	0.0
   304	   15168	0.0
   305	   15218	0.0
   306	   15294	0.0
   307	   15336	0.0
   308	   15384	0.0
   309	   15426	0.0
   310	   15472	0.0
   311	   15521	0.0
   312	   15568	0.0
   313	   15633	0.0
   314	   15669	0.0
   315	   15718	0.0
   316	   15768	0.0
   317	   15818	0.0
   318	   15868	0.0
   319	   15918	0.0
   320	   15968	0.0
   321	   16018	0.0
   322	   16068	0.0
   323	   16118	0.0
   324	   16168	0.0
   325	   16219	0.0
   326	   16269	0.0
   327	   16318	0.0
   328	   16368	0.0
   329	   16419	0.0
   330	   16468	0.0
   331	   16518	0.0
   332	   16584	0.0
   333	   16630	0.0
   334	   16678	0.0
   335	   16722	0.0
   336	   16770	0.0
   337	   16819	0.0
   338	   16886	0.0
   339	   16918	0.0
   340	   16968	0.0
   341	   17018	0.0
   342	   17068	0.0
   343	   17118	0.0
   344	   17168	0.0
   345	   17222	0.0
   346	   17301	0.0
   347	   17318	0.0
   348	   17368	0.0
   349	   17419	0.0
   350	   17469	0.0
   351	   17521	0.0
   352	   17568	0.0
   353	   17618	0.0
   354	   17669	0.0
   355	   17718	0.0
   356	   17768	0.0
   357	   17818	0.0
   358	   17868	0.0
   359	   17918	0.0
   360	   17968	0.0
   361	   18018	0.0
