Number	Time	Temperature
     1	      32	50.0
     2	      81	49.8
     3	     132	49.8
     4	     181	49.8
     5	     230	49.8
     6	     283	49.8
     7	     331	49.8
     8	     383	50.0
     9	     433	50.0
    10	     483	50.0
    11	     532	50.1
    12	     582	50.1
    13	     633	50.2
    14	     682	50.2
    15	     732	50.2
    16	     781	50.2
    17	     831	50.1
    18	     883	50.2
    19	     930	49.7
    20	     983	50.1
    21	    1032	50.0
    22	    1083	50.0
    23	    1132	50.0
    24	    1183	50.0
    25	    1233	49.8
    26	    1283	49.8
    27	    1333	49.8
    28	    1383	49.8
    29	    1433	49.8
    30	    1484	49.8
    31	    1534	49.8
    32	    1583	50.0
    33	    1634	50.0
    34	    1683	50.1
    35	    1732	50.1
    36	    1783	50.1
    37	    1833	50.2
    38	    1882	50.2
    39	    1931	50.2
    40	    1983	50.2
    41	    2033	50.2
    42	    2083	50.1
    43	    2133	50.1
    44	    2180	50.1
    45	    2234	50.1
    46	    2283	50.0
    47	    2333	50.0
    48	    2383	50.0
    49	    2433	49.8
    50	    2483	49.8
    51	    2534	49.8
    52	    2584	49.8
    53	    2631	49.8
    54	    2681	50.0
    55	    2733	50.0
    56	    2876	50.1
    57	    2894	50.1
