Number	Time	Temperature
     1	       9	42.8
     2	      60	42.8
     3	     110	42.8
     4	     160	42.4
     5	     210	42.4
     6	     260	42.4
     7	     310	42.4
     8	     360	42.4
     9	     410	42.5
    10	     460	42.7
    11	     510	43.3
    12	     560	43.6
    13	     610	44.2
    14	     660	44.7
    15	     710	45.4
    16	     759	46.1
    17	     809	47.0
    18	     859	48.0
    19	     910	48.7
    20	     961	49.8
    21	    1010	50.7
    22	    1060	52.7
    23	    1110	53.7
    24	    1160	54.7
    25	    1210	55.6
    26	    1261	56.7
    27	    1309	57.7
    28	    1360	58.6
    29	    1409	59.5
    30	    1465	60.6
    31	    1510	61.5
    32	    1560	62.5
    33	    1609	63.1
    34	    1661	63.9
    35	    1710	65.0
    36	    1760	65.6
    37	    1810	65.8
    38	    1860	65.9
    39	    1910	66.2
    40	    1959	66.1
    41	    2009	66.1
    42	    2060	66.1
    43	    2110	65.8
    44	    2160	65.7
    45	    2211	65.6
    46	    2259	65.3
    47	    2310	65.0
    48	    2359	64.5
    49	    2410	64.3
    50	    2460	64.1
    51	    2510	63.7
    52	    2560	63.4
    53	    2611	63.1
    54	    2660	62.9
    55	    2710	62.5
    56	    2760	62.2
    57	    2810	61.9
    58	    2860	61.7
    59	    2911	61.3
    60	    2961	61.1
    61	    3010	60.6
    62	    3060	60.2
    63	    3109	59.9
    64	    3160	59.8
    65	    3210	59.5
    66	    3260	59.1
    67	    3310	59.0
    68	    3360	58.7
    69	    3410	58.5
    70	    3460	58.2
    71	    3509	58.1
    72	    3559	57.9
    73	    3610	57.4
    74	    3660	57.3
    75	    3711	57.0
    76	    3759	56.9
    77	    3810	56.6
    78	    3864	56.5
    79	    3910	56.3
    80	    3962	56.0
    81	    4010	55.9
    82	    4060	55.8
    83	    4110	55.5
    84	    4160	55.4
    85	    4211	55.0
    86	    4259	54.8
    87	    4310	54.7
    88	    4360	54.6
    89	    4410	54.5
    90	    4460	54.4
    91	    4510	54.2
    92	    4560	54.1
    93	    4610	53.8
    94	    4661	53.8
    95	    4710	53.6
    96	    4760	53.4
    97	    4809	53.4
    98	    4860	53.2
    99	    4910	53.0
   100	    4960	52.9
   101	    5011	52.7
   102	    5059	52.6
   103	    5110	52.5
   104	    5161	52.5
   105	    5210	52.3
   106	    5260	52.2
   107	    5310	52.1
   108	    5360	51.9
   109	    5410	51.8
   110	    5460	51.6
   111	    5510	51.5
   112	    5562	51.5
   113	    5610	51.4
   114	    5660	51.2
   115	    5710	51.1
   116	    5759	51.1
   117	    5809	50.9
   118	    5860	50.8
   119	    5910	50.8
   120	    5960	50.7
   121	    6010	50.5
   122	    6059	50.5
   123	    6110	50.2
   124	    6160	50.2
   125	    6210	50.2
   126	    6260	50.1
   127	    6310	50.0
   128	    6359	50.0
   129	    6410	49.8
   130	    6460	49.8
   131	    6511	49.7
   132	    6560	49.5
   133	    6611	49.5
   134	    6659	49.5
   135	    6710	49.3
   136	    6760	49.3
   137	    6809	49.1
   138	    6860	49.1
   139	    6911	49.1
   140	    6960	49.0
   141	    7040	49.0
   142	    7075	48.8
   143	    7118	48.7
   144	    7164	48.7
   145	    7213	48.6
   146	    7260	48.6
   147	    7310	48.6
   148	    7359	48.4
   149	    7410	48.4
   150	    7461	48.3
   151	    7510	48.3
   152	    7559	48.1
   153	    7611	48.1
   154	    7659	48.0
   155	    7710	48.0
   156	    7760	48.0
   157	    7809	47.9
   158	    7863	47.9
   159	    7910	47.9
   160	    7959	47.7
   161	    8009	47.7
   162	    8060	47.6
   163	    8109	47.6
   164	    8159	47.4
   165	    8211	47.4
   166	    8260	47.4
   167	    8309	47.3
   168	    8359	47.3
   169	    8409	47.1
   170	    8460	47.1
   171	    8509	47.1
   172	    8560	47.0
   173	    8610	47.0
   174	    8662	47.0
   175	    8711	46.8
   176	    8759	46.8
   177	    8809	46.8
   178	    8860	46.7
   179	    8909	46.7
   180	    8960	46.7
   181	    9009	46.6
   182	    9060	46.6
   183	    9110	46.6
   184	    9160	46.6
   185	    9212	46.4
   186	    9259	46.4
   187	    9310	46.3
   188	    9360	46.3
   189	    9411	46.3
   190	    9463	46.3
   191	    9510	46.1
   192	    9560	46.1
   193	    9610	46.1
   194	    9660	46.1
   195	    9710	46.0
   196	    9760	46.0
   197	    9810	45.8
   198	    9859	45.8
   199	    9910	45.8
