Number	Time	Temperature
     1	       8	30.3
     2	      58	30.4
     3	     108	30.3
     4	     158	30.4
     5	     208	30.6
     6	     258	30.8
     7	     308	31.3
     8	     357	31.9
     9	     408	33.2
    10	     458	34.1
    11	     508	35.0
    12	     558	36.0
    13	     608	37.0
    14	     657	38.1
    15	     707	39.2
    16	     758	40.3
    17	     808	41.3
    18	     858	42.4
    19	     908	43.4
    20	     957	44.5
    21	    1008	46.7
    22	    1059	47.9
    23	    1108	48.8
    24	    1158	49.8
    25	    1208	50.8
    26	    1257	51.6
    27	    1308	52.6
    28	    1358	53.3
    29	    1408	54.0
    30	    1458	54.4
    31	    1515	54.6
    32	    1558	54.8
    33	    1608	55.0
    34	    1658	55.0
    35	    1708	55.0
    36	    1758	54.8
    37	    1808	54.7
    38	    1858	54.5
    39	    1908	54.4
    40	    1958	54.1
    41	    2008	53.8
    42	    2058	53.6
    43	    2109	53.3
    44	    2158	53.0
    45	    2209	52.6
    46	    2260	52.2
    47	    2308	51.9
    48	    2358	51.5
    49	    2409	51.2
    50	    2457	50.9
    51	    2508	50.8
    52	    2558	50.4
    53	    2609	50.1
    54	    2658	50.0
    55	    2708	49.7
    56	    2758	49.5
    57	    2808	49.4
    58	    2858	49.3
    59	    2908	49.3
    60	    2958	49.4
    61	    3008	49.5
    62	    3058	49.7
    63	    3108	50.0
    64	    3158	50.1
    65	    3208	50.4
    66	    3258	50.7
    67	    3308	50.8
    68	    3357	50.9
    69	    3409	51.1
    70	    3458	51.2
    71	    3508	51.2
    72	    3558	51.1
    73	    3688	51.1
    74	    3691	50.8
