Cycle	Time	Value
     1	       3	0.0
     2	      44	0.0
     3	      92	0.0
     4	     142	0.0
     5	     192	0.0
     6	     241	0.0
     7	     293	0.0
     8	     342	0.0
     9	     394	0.0
    10	     442	0.0
    11	     494	1.0
    12	     543	0.0
    13	     592	0.0
    14	     642	0.0
    15	     692	0.0
    16	     742	0.0
    17	     795	0.0
    18	     842	0.0
    19	     893	0.0
    20	     942	0.0
    21	     992	0.0
    22	    1042	0.0
    23	    1092	0.0
    24	    1142	0.0
    25	    1194	0.0
    26	    1245	0.0
    27	    1294	0.0
    28	    1342	0.0
    29	    1393	0.0
    30	    1442	0.0
    31	    1493	0.0
    32	    1542	0.0
    33	    1594	0.0
    34	    1642	0.0
    35	    1692	0.0
    36	    1742	0.0
    37	    1793	0.0
    38	    1842	0.0
    39	    1895	0.0
    40	    1941	0.0
    41	    1991	0.0
    42	    2041	0.0
    43	    2094	0.0
    44	    2142	0.0
    45	    2194	0.0
    46	    2242	0.0
    47	    2291	0.0
    48	    2342	0.0
    49	    2391	0.0
    50	    2442	0.0
    51	    2492	0.0
    52	    2541	0.0
    53	    2592	0.0
    54	    2642	0.0
    55	    2692	0.0
    56	    2741	0.0
    57	    2792	0.0
    58	    2842	0.0
    59	    2892	0.0
    60	    2944	0.0
    61	    2992	0.0
    62	    3042	0.0
    63	    3092	0.0
    64	    3142	0.0
    65	    3192	0.0
    66	    3241	0.0
    67	    3292	0.0
    68	    3342	0.0
    69	    3391	0.0
    70	    3442	0.0
    71	    3492	0.0
    72	    3541	0.0
    73	    3592	0.0
    74	    3653	0.0
    75	    3691	0.0
    76	    3741	0.0
    77	    3792	0.0
    78	    3841	0.0
    79	    3892	0.0
    80	    3943	0.0
    81	    3991	0.0
    82	    4041	0.0
    83	    4092	0.0
    84	    4142	0.0
    85	    4192	0.0
    86	    4242	0.0
    87	    4292	0.0
    88	    4342	0.0
    89	    4392	0.0
    90	    4444	0.0
    91	    4491	0.0
    92	    4544	0.0
    93	    4592	0.0
    94	    4641	0.0
    95	    4691	0.0
    96	    4741	0.0
    97	    4793	0.0
    98	    4841	0.0
    99	    4891	0.0
   100	    4943	0.0
   101	    4992	0.0
   102	    5042	0.0
   103	    5093	0.0
   104	    5141	0.0
   105	    5192	0.0
   106	    5250	0.0
   107	    5291	0.0
   108	    5341	0.0
   109	    5392	0.0
   110	    5441	0.0
   111	    5492	0.0
   112	    5541	0.0
   113	    5592	0.0
   114	    5642	0.0
   115	    5692	0.0
   116	    5741	0.0
   117	    5791	0.0
   118	    5841	0.0
   119	    5892	0.0
   120	    5943	0.0
   121	    5992	0.0
   122	    6042	0.0
   123	    6092	0.0
   124	    6143	0.0
   125	    6192	0.0
   126	    6242	0.0
   127	    6291	0.0
   128	    6341	0.0
   129	    6392	0.0
   130	    6443	0.0
   131	    6491	0.0
   132	    6541	0.0
   133	    6592	0.0
   134	    6641	0.0
   135	    6691	0.0
   136	    6742	0.0
   137	    6792	0.0
   138	    6841	0.0
   139	    6892	0.0
   140	    6941	0.0
   141	    6991	0.0
   142	    7042	0.0
   143	    7092	0.0
   144	    7142	0.0
   145	    7192	1.0
   146	    7242	0.0
   147	    7292	0.0
   148	    7342	0.0
   149	    7392	0.0
   150	    7444	0.0
   151	    7492	0.0
   152	    7542	0.0
   153	    7592	0.0
   154	    7651	0.0
   155	    7693	0.0
   156	    7742	0.0
   157	    7791	0.0
   158	    7843	0.0
   159	    7892	0.0
   160	    7942	0.0
   161	    7992	0.0
   162	    8042	0.0
   163	    8092	0.0
   164	    8141	0.0
   165	    8192	0.0
   166	    8243	0.0
   167	    8292	0.0
   168	    8343	0.0
   169	    8392	0.0
   170	    8442	1.0
   171	    8493	0.0
   172	    8542	0.0
   173	    8593	0.0
   174	    8642	0.0
   175	    8692	0.0
   176	    8742	0.0
   177	    8796	0.0
   178	    8842	0.0
   179	    8892	0.0
   180	    8942	0.0
   181	    8994	0.0
   182	    9044	0.0
   183	    9092	0.0
   184	    9142	0.0
   185	    9192	0.0
   186	    9248	0.0
   187	    9294	0.0
   188	    9343	0.0
   189	    9392	0.0
   190	    9444	0.0
   191	    9493	0.0
   192	    9545	0.0
   193	    9591	0.0
   194	    9644	0.0
   195	    9692	0.0
   196	    9744	0.0
   197	    9794	0.0
   198	    9844	0.0
   199	    9891	0.0
   200	    9945	0.0
   201	   10047	0.0
   202	   10128	0.0
   203	   10177	0.0
   204	   10222	0.0
