Number	Time	Temperature
     1	      36	59.8
     2	      85	59.7
     3	     135	59.4
     4	     185	59.3
     5	     235	59.0
     6	     285	58.9
     7	     335	58.6
     8	     385	58.3
     9	     438	58.2
    10	     485	57.9
    11	     535	57.7
    12	     585	57.5
    13	     633	57.4
    14	     685	57.0
    15	     736	56.7
    16	     785	56.6
    17	     835	56.3
    18	     885	56.2
    19	     935	56.0
    20	     985	55.8
    21	    1035	55.6
    22	    1086	55.4
    23	    1135	55.2
    24	    1185	55.1
    25	    1235	55.0
    26	    1285	54.6
    27	    1334	54.5
    28	    1385	54.4
    29	    1435	54.2
    30	    1485	54.1
    31	    1536	54.0
    32	    1585	53.8
    33	    1635	53.7
    34	    1683	53.6
    35	    1735	53.4
    36	    1785	53.3
    37	    1835	53.2
    38	    1886	53.0
    39	    1935	52.7
    40	    1985	52.6
    41	    2035	52.6
    42	    2085	52.5
    43	    2135	52.3
    44	    2185	52.2
    45	    2235	52.2
    46	    2285	52.1
    47	    2335	51.9
    48	    2385	51.8
    49	    2439	51.6
    50	    2485	51.6
    51	    2536	51.4
    52	    2587	51.2
    53	    2635	51.2
    54	    2685	51.1
    55	    2735	50.9
    56	    2786	50.9
    57	    2835	50.8
    58	    2884	50.8
    59	    2935	50.7
    60	    2985	50.5
    61	    3035	50.5
    62	    3085	50.4
    63	    3185	50.2
    64	    3235	50.1
    65	    3285	50.1
    66	    3333	50.0
    67	    3385	50.0
    68	    3435	49.8
    69	    3483	49.8
    70	    3535	49.7
    71	    3585	49.7
    72	    3636	49.5
    73	    3685	49.4
    74	    3735	49.4
    75	    3807	49.4
    76	    3863	49.1
    77	    3886	49.1
    78	    3935	49.1
    79	    3985	49.1
    80	    4036	49.0
    81	    4095	49.0
    82	    4134	49.0
    83	    4185	48.8
    84	    4235	48.8
    85	    4285	48.8
    86	    4336	48.8
    87	    4385	48.8
    88	    4434	48.8
    89	    4485	48.8
    90	    4536	48.8
    91	    4586	48.8
    92	    4635	48.8
    93	    4685	49.0
    94	    4735	48.8
