Number	Time	Temperature
     1	       3	50.0
     2	      50	50.0
     3	      97	50.0
     4	     147	50.0
     5	     199	50.0
     6	     247	50.2
     7	     297	50.2
     8	     347	50.3
     9	     397	50.5
    10	     448	50.6
    11	     500	50.7
    12	     548	50.7
    13	     599	50.9
    14	     647	51.2
    15	     697	51.2
    16	     747	51.3
    17	     797	51.4
    18	     847	51.6
    19	     897	51.6
    20	     950	51.7
    21	     997	51.9
    22	    1047	51.9
    23	    1099	51.9
    24	    1149	51.9
    25	    1200	51.9
    26	    1251	51.9
    27	    1299	51.7
    28	    1350	51.6
    29	    1439	51.6
    30	    1549	51.3
    31	    1597	51.2
    32	    1649	51.2
    33	    1697	51.0
    34	    1750	50.9
    35	    1797	50.9
    36	    1852	50.6
    37	    1905	50.6
    38	    1950	50.5
    39	    1999	50.3
    40	    2050	50.3
    41	    2097	50.2
    42	    2149	50.0
    43	    2199	49.9
    44	    2247	49.8
    45	    2299	49.6
    46	    2348	49.6
    47	    2399	49.5
    48	    2447	49.5
    49	    2497	49.3
    50	    2547	49.2
    51	    2597	49.2
    52	    2649	49.1
    53	    2699	48.9
    54	    2747	48.9
    55	    2798	48.8
    56	    2850	48.8
    57	    2899	48.6
    58	    2949	48.5
    59	    2999	48.4
    60	    3048	48.4
    61	    3097	48.2
    62	    3148	48.2
    63	    3197	48.1
    64	    3249	48.1
    65	    3300	47.9
    66	    3350	47.9
    67	    3399	47.8
    68	    3450	47.8
    69	    3497	47.6
    70	    3547	47.6
    71	    3600	47.5
    72	    3649	47.5
    73	    3697	47.5
    74	    3747	47.6
    75	    3797	47.6
    76	    3850	47.6
    77	    3897	47.8
    78	    3949	48.1
    79	    3997	48.2
    80	    4047	48.5
    81	    4100	48.6
    82	    4147	49.1
    83	    4197	49.8
    84	    4247	50.2
    85	    4299	50.6
    86	    4350	51.0
    87	    4397	51.6
    88	    4449	51.9
    89	    4499	52.3
    90	    4549	53.0
    91	    4597	53.4
    92	    4647	53.8
    93	    4697	54.3
    94	    4747	54.7
    95	    4798	55.4
    96	    4848	55.8
    97	    4899	56.1
    98	    4949	56.4
    99	    4998	56.5
   100	    5050	56.6
   101	    5097	56.6
   102	    5147	56.6
   103	    5199	56.5
   104	    5250	56.6
   105	    5299	56.5
   106	    5347	56.4
   107	    5399	56.2
   108	    5450	56.0
   109	    5497	55.8
   110	    5547	55.7
   111	    5599	55.6
   112	    5647	55.4
   113	    5699	55.3
   114	    5749	55.0
   115	    5797	54.9
   116	    5849	54.7
   117	    5897	54.6
   118	    5950	54.5
   119	    5998	54.3
   120	    6048	53.9
   121	    6100	53.8
   122	    6147	53.7
   123	    6199	53.5
   124	    6249	53.4
   125	    6298	53.2
   126	    6349	53.1
   127	    6397	53.0
   128	    6448	52.8
   129	    6498	52.7
   130	    6549	52.6
   131	    6599	52.4
   132	    6649	52.1
   133	    6700	52.0
   134	    6747	51.9
   135	    6797	51.7
   136	    6849	51.6
   137	    6897	51.4
   138	    6950	51.4
   139	    6999	51.3
   140	    7049	51.2
   141	    7098	51.0
   142	    7149	51.0
   143	    7199	50.7
   144	    7250	50.6
   145	    7298	50.6
   146	    7349	50.5
   147	    7400	50.3
   148	    7449	50.3
   149	    7497	50.2
   150	    7550	50.0
   151	    7600	50.0
   152	    7649	49.9
   153	    7697	49.8
   154	    7747	49.8
   155	    7798	49.6
   156	    7849	49.6
   157	    7897	49.5
   158	    7949	49.3
   159	    7999	49.2
   160	    8048	49.2
   161	    8099	49.1
   162	    8147	49.1
   163	    8199	48.9
   164	    8249	48.9
   165	    8297	48.8
   166	    8349	48.8
   167	    8400	48.6
   168	    8449	48.6
   169	    8497	48.5
   170	    8548	48.4
   171	    8599	48.4
   172	    8650	48.2
   173	    8699	48.2
   174	    8749	48.1
   175	    8799	48.1
   176	    8849	48.1
   177	    8896	47.9
   178	    8950	47.9
   179	    8997	47.8
   180	    9049	47.8
   181	    9171	47.6
   182	    9188	47.6
   183	    9234	47.5
   184	    9279	47.3
   185	    9326	47.3
   186	    9372	47.3
   187	    9417	47.2
   188	    9465	47.2
   189	    9513	47.2
   190	    9558	47.1
   191	    9605	47.1
   192	    9649	47.1
   193	    9699	46.9
   194	    9750	46.9
   195	    9799	46.9
   196	    9854	46.8
   197	    9897	46.8
   198	    9950	46.6
   199	    9999	46.6
   200	   10049	46.6
   201	   10098	46.6
   202	   10147	46.5
   203	   10197	46.5
   204	   10249	46.5
   205	   10297	46.3
   206	   10349	46.3
   207	   10400	46.2
   208	   10447	46.2
   209	   10498	46.2
   210	   10549	46.2
   211	   10599	46.0
   212	   10649	46.0
   213	   10697	46.0
   214	   10747	45.9
   215	   10799	45.9
   216	   10849	45.9
   217	   10897	45.8
   218	   10947	45.8
   219	   10997	45.8
   220	   11047	45.6
   221	   11099	45.6
   222	   11149	45.6
   223	   11197	45.6
   224	   11247	45.8
   225	   11300	45.8
   226	   11349	46.0
   227	   11398	46.2
   228	   11446	46.5
   229	   11497	46.8
   230	   11547	47.1
   231	   11599	47.5
   232	   11649	48.5
   233	   11696	49.2
   234	   11757	49.9
   235	   11797	50.6
   236	   11847	51.3
   237	   11899	52.0
   238	   11949	52.8
   239	   11997	53.7
   240	   12049	54.5
   241	   12099	55.4
   242	   12147	56.2
   243	   12199	56.9
   244	   12247	57.7
   245	   12297	59.1
   246	   12347	59.6
   247	   12399	60.1
   248	   12447	60.5
   249	   12497	60.8
   250	   12549	61.1
   251	   12598	61.2
   252	   12647	61.3
   253	   12697	61.3
   254	   12747	61.3
   255	   12798	61.2
   256	   12849	61.1
   257	   12899	60.8
   258	   12950	60.7
   259	   12998	60.5
   260	   13048	60.3
   261	   13100	60.1
   262	   13199	59.9
   263	   13216	59.7
