Cycle	Time	Value
     1	      32	0.0
     2	      81	0.0
     3	     132	0.0
     4	     181	0.0
     5	     230	0.0
     6	     283	0.0
     7	     331	0.0
     8	     383	0.0
     9	     433	1.0
    10	     483	0.0
    11	     533	0.0
    12	     582	0.0
    13	     633	0.0
    14	     682	0.0
    15	     732	0.0
    16	     781	0.0
    17	     831	0.0
    18	     883	0.0
    19	     930	0.0
    20	     983	0.0
    21	    1032	0.0
    22	    1083	0.0
    23	    1132	0.0
    24	    1183	0.0
    25	    1233	0.0
    26	    1283	0.0
    27	    1333	0.0
    28	    1383	0.0
    29	    1433	0.0
    30	    1484	0.0
    31	    1534	0.0
    32	    1583	0.0
    33	    1634	0.0
    34	    1683	0.0
    35	    1732	0.0
    36	    1783	0.0
    37	    1833	0.0
    38	    1882	0.0
    39	    1931	0.0
    40	    1983	0.0
    41	    2033	0.0
    42	    2083	0.0
    43	    2133	0.0
    44	    2180	0.0
    45	    2234	0.0
    46	    2283	0.0
    47	    2333	1.0
    48	    2383	0.0
    49	    2433	0.0
    50	    2483	0.0
    51	    2534	0.0
    52	    2584	0.0
    53	    2631	0.0
    54	    2681	0.0
    55	    2733	0.0
    56	    2876	0.0
    57	    2894	0.0
